Name	OccurrencesInSearchInputData	SearchInputDataSize	OccurencesInWholeGenome	WholeGenomeSize	Adjusted PValue
hsa00603	3	2340	61409	3095677412	4.325516E-3
hsa00601	3	2340	97622	3095677412	1.702578E-2
hsa04960	2	2340	179311	3095677412	1E0
hsa05217	2	2340	229465	3095677412	1E0
hsa01100	7	2340	3527851	3095677412	1E0
hsa04971	2	2340	343167	3095677412	1E0
hsa00120	1	2340	43041	3095677412	1E0
hsa04916	2	2340	423957	3095677412	1E0
hsa04911	2	2340	436142	3095677412	1E0
hsa00563	1	2340	76694	3095677412	1E0
hsa05166	3	2340	1189489	3095677412	1E0
hsa03020	1	2340	88302	3095677412	1E0
hsa04740	2	2340	545462	3095677412	1E0
hsa03440	1	2340	97741	3095677412	1E0
hsa00350	1	2340	101002	3095677412	1E0
hsa03050	1	2340	105308	3095677412	1E0
hsa05145	2	2340	606118	3095677412	1E0
hsa04310	2	2340	614075	3095677412	1E0
hsa00051	1	2340	116679	3095677412	1E0
hsa04390	2	2340	650614	3095677412	1E0
hsa00071	1	2340	132742	3095677412	1E0
hsa04623	1	2340	138407	3095677412	1E0
hsa05200	3	2340	1468917	3095677412	1E0
hsa05164	2	2340	734463	3095677412	1E0
hsa00982	1	2340	161961	3095677412	1E0
hsa05310	1	2340	162963	3095677412	1E0
hsa00830	1	2340	165584	3095677412	1E0
hsa00980	1	2340	165971	3095677412	1E0
hsa05204	1	2340	179032	3095677412	1E0
hsa00010	1	2340	181609	3095677412	1E0
hsa05169	2	2340	825816	3095677412	1E0
hsa05168	2	2340	840368	3095677412	1E0
hsa04672	1	2340	207926	3095677412	1E0
hsa03320	1	2340	235930	3095677412	1E0
hsa05330	1	2340	239472	3095677412	1E0
hsa05332	1	2340	250053	3095677412	1E0
hsa05320	1	2340	252893	3095677412	1E0
hsa05205	2	2340	1012009	3095677412	1E0
hsa03008	1	2340	270927	3095677412	1E0
hsa04940	1	2340	271927	3095677412	1E0
hsa04115	1	2340	273454	3095677412	1E0
hsa00240	1	2340	300599	3095677412	1E0
hsa04610	1	2340	300846	3095677412	1E0
hsa05100	1	2340	315603	3095677412	1E0
hsa05150	1	2340	322903	3095677412	1E0
hsa04620	1	2340	326731	3095677412	1E0
hsa05140	1	2340	341832	3095677412	1E0
hsa04210	1	2340	348811	3095677412	1E0
hsa05323	1	2340	355348	3095677412	1E0
hsa03015	1	2340	360439	3095677412	1E0
hsa05322	1	2340	376927	3095677412	1E0
hsa04972	1	2340	395779	3095677412	1E0
hsa04974	1	2340	405382	3095677412	1E0
hsa04912	1	2340	417770	3095677412	1E0
hsa04540	1	2340	422083	3095677412	1E0
hsa04066	1	2340	439375	3095677412	1E0
hsa05416	1	2340	447937	3095677412	1E0
hsa05222	1	2340	453672	3095677412	1E0
hsa04612	1	2340	455719	3095677412	1E0
hsa04110	1	2340	473536	3095677412	1E0
hsa04722	1	2340	509055	3095677412	1E0
hsa03013	1	2340	539396	3095677412	1E0
hsa05146	1	2340	549924	3095677412	1E0
hsa00230	1	2340	596713	3095677412	1E0
hsa04120	1	2340	597614	3095677412	1E0
hsa04512	1	2340	619366	3095677412	1E0
hsa04062	1	2340	624191	3095677412	1E0
hsa05152	1	2340	694212	3095677412	1E0
hsa04514	1	2340	709727	3095677412	1E0
hsa04145	1	2340	717018	3095677412	1E0
hsa04060	1	2340	757022	3095677412	1E0
hsa04080	1	2340	979736	3095677412	1E0
hsa04510	1	2340	1175345	3095677412	1E0
hsa04151	1	2340	1551740	3095677412	1E0
