Name	OccurrencesInSearchInputData	SearchInputDataSize	OccurencesInWholeGenome	WholeGenomeSize	Adjusted PValue
HUVEC	114	2340	100752433	3095677412	1.848943E-3
SAEC	51	2340	36715921	3095677412	3.548601E-3
HRPEPIC	51	2340	39164931	3095677412	1.642161E-2
K562	113	2340	105881170	3095677412	1.892605E-2
HMVEC_DBLAD	42	2340	30692073	3095677412	2.152256E-2
HBMEC	48	2340	36929570	3095677412	2.58036E-2
HPDLF	43	2340	32281266	3095677412	3.161324E-2
HELA	68	2340	58159825	3095677412	3.34546E-2
GM19240	72	2340	62682233	3095677412	3.732083E-2
NHLF	48	2340	37635394	3095677412	3.860065E-2
MCF7	74	2340	64966779	3095677412	3.948421E-2
HMVEC_DBLNEO	42	2340	31833360	3095677412	4.411157E-2
D721	83	2340	75446389	3095677412	5.180621E-2
HAEPIC	48	2340	38512746	3095677412	6.22346E-2
NHA	44	2340	35094258	3095677412	8.965462E-2
HRCE	45	2340	36375722	3095677412	1.026145E-1
HMVEC_LBL	40	2340	31476766	3095677412	1.155665E-1
HEEPIC	46	2340	37787067	3095677412	1.244321E-1
HELAS3_IFNA	77	2340	71221620	3095677412	1.251872E-1
GM12892	105	2340	104050419	3095677412	1.829484E-1
FIBROBLASTS_PARK	61	2340	54942530	3095677412	2.0591E-1
HRE	41	2340	33590030	3095677412	2.062804E-1
H1_ES	111	2340	111738761	3095677412	2.262248E-1
CHORION	109	2340	109635708	3095677412	2.396479E-1
GM12891	100	2340	99877339	3095677412	2.859088E-1
HVMF	43	2340	36603269	3095677412	3.217091E-1
HESCT0	80	2340	77772268	3095677412	3.618832E-1
FB0167P	63	2340	58839723	3095677412	3.868061E-1
LHSR	79	2340	77089459	3095677412	4.160721E-1
HCFAA	42	2340	36172563	3095677412	4.295934E-1
HCPEPIC	44	2340	38378803	3095677412	4.423614E-1
HCM	41	2340	35320585	3095677412	4.732659E-1
HCF	38	2340	32637525	3095677412	5.978651E-1
NHDF_NEO	40	2340	34829232	3095677412	6.124831E-1
AG04449	38	2340	33053515	3095677412	7.209817E-1
AG04450	35	2340	30133727	3095677412	8.20966E-1
HMVEC_DLYAD	30	2340	24877220	3095677412	8.315074E-1
LHSR_INDUCED	55	2340	52116983	3095677412	8.353226E-1
BJ	38	2340	33428592	3095677412	8.493634E-1
SM_SFM	53	2340	49941355	3095677412	8.538923E-1
GM19238	69	2340	68182236	3095677412	8.855541E-1
HMF	39	2340	34725606	3095677412	9.303328E-1
NHDF_AD	46	2340	42439026	3095677412	9.454926E-1
MYOTUBE	81	2340	82641798	3095677412	1E0
HPF	35	2340	30923059	3095677412	1E0
PANCREATIC_ISLETS	71	2340	71543770	3095677412	1E0
MYOMETRIAL	69	2340	69881551	3095677412	1E0
GM19239	76	2340	78105858	3095677412	1E0
NB4	31	2340	27340930	3095677412	1E0
AOAF	36	2340	32839370	3095677412	1E0
HNPCEPIC	41	2340	38517635	3095677412	1E0
HMVEC_DLYNEO	32	2340	28751945	3095677412	1E0
HMVEC_LLY	30	2340	26797440	3095677412	1E0
NHEK	63	2340	64655643	3095677412	1E0
MELANOCYTE	47	2340	46233519	3095677412	1E0
HPAF	36	2340	33825273	3095677412	1E0
HL60	34	2340	31769762	3095677412	1E0
HCONF	33	2340	30767060	3095677412	1E0
SKMC	40	2340	38786569	3095677412	1E0
GM18507	43	2340	42240288	3095677412	1E0
AG10803	35	2340	33337009	3095677412	1E0
HTH1	16	2340	12785011	3095677412	1E0
AG09309	37	2340	35725670	3095677412	1E0
H9_ES	58	2340	60828950	3095677412	1E0
MYOBLAST	73	2340	78710853	3095677412	1E0
HELAS3	68	2340	73011288	3095677412	1E0
AG09319	28	2340	26721691	3095677412	1E0
CMK	22	2340	20112472	3095677412	1E0
GM12878	88	2340	98272078	3095677412	1E0
GM12865	29	2340	28708125	3095677412	1E0
FB8470	42	2340	43866521	3095677412	1E0
HMVEC_DNEO	28	2340	28023793	3095677412	1E0
HGF	28	2340	28078079	3095677412	1E0
HEPG2	68	2340	76777972	3095677412	1E0
GM06990	21	2340	20564841	3095677412	1E0
CACO2	27	2340	28174877	3095677412	1E0
HMEC	31	2340	33090227	3095677412	1E0
PANC1	25	2340	26599269	3095677412	1E0
HTH2	14	2340	13859980	3095677412	1E0
HCT116	20	2340	22384586	3095677412	1E0
SKNSH	20	2340	22849795	3095677412	1E0
HESC	17	2340	22795719	3095677412	1E0
