Name	OccurrencesInSearchInputData	SearchInputDataSize	OccurencesInWholeGenome	WholeGenomeSize	Adjusted PValue
H3K27ME3_K562	360	2340	311549614	3095677412	1.079137E-13
H3K27ME3_HELAS3	270	2340	220509451	3095677412	1.690648E-12
H3K27ME3_HUVEC	197	2340	158655472	3095677412	3.022662E-9
H3K27ME3_NHEK	139	2340	106494407	3095677412	1.599925E-7
H3K27ME3_HEPG2	203	2340	174590050	3095677412	3.011796E-7
H3K4ME1_HSMMT	195	2340	170438024	3095677412	2.080732E-6
H3K4ME1_NHA	210	2340	193908328	3095677412	3.144308E-5
H3K4ME1_HSMM	159	2340	139736999	3095677412	6.66075E-5
H3K4ME1_OSTEOBL	255	2340	247278884	3095677412	7.134232E-5
H3K4ME1_NT2D1	111	2340	91745820	3095677412	2.770044E-4
H3K4ME1_HUVEC	186	2340	184414186	3095677412	9.353462E-3
H3K4ME1_NHLF	129	2340	120056610	3095677412	1.051304E-2
H3K9ME3_GM12878	81	2340	68654889	3095677412	1.491217E-2
H3K27AC_HSMMT	180	2340	180360084	3095677412	2.08325E-2
H3K4ME1_NHEK	204	2340	208385674	3095677412	2.106674E-2
H3K27ME3_NHDFAD	100	2340	90477843	3095677412	2.595726E-2
H3K4ME1_HMEC	198	2340	202761119	3095677412	3.005674E-2
H2AZ_K562	129	2340	123717722	3095677412	3.554349E-2
H3K27AC_HELAS3	123	2340	118295771	3095677412	5.477545E-2
H3K4ME1_H1HESC	94	2340	88063028	3095677412	1.197617E-1
H3K27AC_NHA	128	2340	127073075	3095677412	1.36578E-1
H3K27AC_OSTEOBL	187	2340	198303232	3095677412	2.21805E-1
H3K4ME2_HELAS3	130	2340	131351448	3095677412	2.336756E-1
H3K4ME2_OSTEOBL	157	2340	164135487	3095677412	3.080892E-1
H3K4ME2_HSMMT	131	2340	133692048	3095677412	3.171448E-1
H3K27ME3_NHA	67	2340	60961333	3095677412	3.287693E-1
H3K27AC_NHDFAD	109	2340	108384377	3095677412	3.351078E-1
H3K27ME3_NHLF	69	2340	63290095	3095677412	3.44942E-1
H3K27AC_HUVEC	110	2340	110676788	3095677412	4.587094E-1
H3K4ME1_GM12878	148	2340	156166238	3095677412	5.679041E-1
H3K27AC_K562	80	2340	77820531	3095677412	7.256492E-1
H2AZ_GM12878	89	2340	89470903	3095677412	1E0
H3K4ME2_NHDFAD	127	2340	134166464	3095677412	1E0
H2AZ_OSTEOBL	111	2340	115500860	3095677412	1E0
H3K4ME1_K562	221	2340	248423663	3095677412	1E0
H3K9AC_HSMMT	116	2340	121616542	3095677412	1E0
H4K20ME1_NHEK	37	2340	31678501	3095677412	1E0
H2AZ_HSMMT	95	2340	97398572	3095677412	1E0
H2AZ_HSMM	80	2340	80535145	3095677412	1E0
H3K4ME2_NHEK	136	2340	148125074	3095677412	1E0
H3K4ME2_K562	89	2340	92142296	3095677412	1E0
H3K4ME3_HELAS3	98	2340	103741757	3095677412	1E0
H3K27AC_NHLF	97	2340	102726055	3095677412	1E0
H3K36ME3_NHEK	144	2340	159434081	3095677412	1E0
H3K36ME3_BJ	95	2340	100550728	3095677412	1E0
H3K27ME3_NT2D1	77	2340	80146723	3095677412	1E0
H3K36ME3_NHLF	95	2340	101536042	3095677412	1E0
H3K9ME3_OSTEOBL	24	2340	20165105	3095677412	1E0
H3K27AC_HSMM	97	2340	104006610	3095677412	1E0
H3K9ACB_K562	102	2340	110340395	3095677412	1E0
H2AZ_HEPG2	45	2340	43500865	3095677412	1E0
H3K4ME2_HUVEC	112	2340	123834389	3095677412	1E0
H3K27ME3_HRE	70	2340	74623383	3095677412	1E0
H3K4ME2_HSMM	109	2340	123001276	3095677412	1E0
H3K36ME3_HMEC	65	2340	70122081	3095677412	1E0
H3K27ME3_HSMM	37	2340	37281918	3095677412	1E0
H3K27AC_NHEK	107	2340	121708551	3095677412	1E0
H3K4ME2_NHLF	98	2340	111109453	3095677412	1E0
H3K4ME3_K562	73	2340	80577414	3095677412	1E0
H3K9ME1_NHEK	16	2340	13940880	3095677412	1E0
H3K27ME3_GM06990	34	2340	34219303	3095677412	1E0
H3K27ME3_HMEC	23	2340	21997339	3095677412	1E0
H3K9AC_HUVEC	68	2340	75508349	3095677412	1E0
H3K4ME3_GM06990	59	2340	64986662	3095677412	1E0
H3K79ME2_GM12878	115	2340	133995862	3095677412	1E0
H3K9AC_GM12878	65	2340	72439253	3095677412	1E0
H4K20ME1_HMEC	12	2340	10253919	3095677412	1E0
H4K20ME1_K562	56	2340	61611037	3095677412	1E0
H3K36ME3_H1HESC	60	2340	66597249	3095677412	1E0
H3K27ME3_CACO2	17	2340	15827095	3095677412	1E0
H3K9AC_NHEK	73	2340	82805202	3095677412	1E0
H3K36ME3B_NT2D1	240	2340	293427577	3095677412	1E0
H3K36ME3_HSMMT	143	2340	170353625	3095677412	1E0
H3K9AC_K562	70	2340	79339523	3095677412	1E0
H3K9AC_HELAS3	68	2340	78326288	3095677412	1E0
H3K9AC_HSMM	56	2340	63715136	3095677412	1E0
H3K27AC_HEPG2	68	2340	78698815	3095677412	1E0
H3K36ME3_GM06990	100	2340	119195940	3095677412	1E0
H4K20ME1_HSMMT	77	2340	90530572	3095677412	1E0
H4K20ME1_H1HESC	31	2340	34031868	3095677412	1E0
H3K9ME3_U2OS	163	2340	200280250	3095677412	1E0
H3K27AC_GM12878	84	2340	100312180	3095677412	1E0
H3K27ME3_GM12878	53	2340	61999295	3095677412	1E0
H3K9AC_HMEC	51	2340	59637274	3095677412	1E0
H3K9AC_NT2D1	75	2340	90128194	3095677412	1E0
H3K4ME2_GM12878	110	2340	135007874	3095677412	1E0
H3K4ME3_JURKAT	44	2340	51533281	3095677412	1E0
H3K27AC_HMEC	90	2340	110234973	3095677412	1E0
H3K36ME3_H7ES	73	2340	88605150	3095677412	1E0
H3K9AC_HEPG2	62	2340	74708824	3095677412	1E0
H3K36ME3_NHDFAD	110	2340	136094683	3095677412	1E0
H3K4ME2_HEPG2	107	2340	132262686	3095677412	1E0
H3K9AC_NHDFAD	56	2340	67264441	3095677412	1E0
H3K4ME3_HEPG2	67	2340	81266591	3095677412	1E0
H3K27ME3_H7ES	47	2340	56044058	3095677412	1E0
H3K36ME3_HRE	26	2340	29857795	3095677412	1E0
H4K20ME1_HUVEC	22	2340	24945474	3095677412	1E0
H3K4ME2_HMEC	104	2340	129595458	3095677412	1E0
H3K4ME3_GM12878	82	2340	101818538	3095677412	1E0
H3K4ME3_HRPE	48	2340	58330712	3095677412	1E0
H3K9ME3_HSMM	16	2340	18101038	3095677412	1E0
H3K4ME3_CACO2	42	2340	51380990	3095677412	1E0
H3K27ME3_BJ	39	2340	48280862	3095677412	1E0
H3K4ME3_NHLF	46	2340	57457882	3095677412	1E0
H3K9AC_NHLF	33	2340	40815100	3095677412	1E0
H3K79ME2_HELAS3	114	2340	145999504	3095677412	1E0
H3K4ME3_NHDFNEO	53	2340	66685845	3095677412	1E0
H3K36ME3_HELAS3	125	2340	160648119	3095677412	1E0
H3K36ME3_NHA	104	2340	133432160	3095677412	1E0
H3K4ME3_HUVEC	52	2340	66034425	3095677412	1E0
H3K36ME3_K562	114	2340	147046311	3095677412	1E0
H3K36ME3_CACO2	23	2340	28560711	3095677412	1E0
H3K9ME3_K562	14	2340	17083807	3095677412	1E0
H3K27AC_H1HESC	28	2340	35205560	3095677412	1E0
H3K9AC_H1HESC	29	2340	36960746	3095677412	1E0
H3K4ME3_HCT116	39	2340	50184626	3095677412	1E0
H3K27ME3_H1HESC	40	2340	51689340	3095677412	1E0
H3K79ME2_HEPG2	99	2340	129510060	3095677412	1E0
H3K4ME3_BJ	37	2340	48049115	3095677412	1E0
H3K36ME3_OSTEOBL	162	2340	213244121	3095677412	1E0
H3K4ME3_NHEK	58	2340	75962491	3095677412	1E0
H3K4ME3_AG04450	46	2340	60258365	3095677412	1E0
H4K20ME1_HSMM	18	2340	23360814	3095677412	1E0
H3K4ME3_NHA	56	2340	73824767	3095677412	1E0
H3K79ME2_HSMMT	134	2340	177176154	3095677412	1E0
H3K4ME3_AG09319	46	2340	60649479	3095677412	1E0
H3K4ME3_HSMM	54	2340	71749331	3095677412	1E0
H3K4ME2_H1HESC	69	2340	91950859	3095677412	1E0
H4K20ME1_NHLF	5	2340	6523499	3095677412	1E0
H3K4ME3_AG04449	45	2340	60792296	3095677412	1E0
H3K79ME2_HSMM	117	2340	157938699	3095677412	1E0
H3K4ME3_HPF	48	2340	65457577	3095677412	1E0
H3K4ME3_AG10803	49	2340	67080707	3095677412	1E0
H3K4ME3_HSMMT	53	2340	72512153	3095677412	1E0
H3K79ME2_K562	91	2340	123673411	3095677412	1E0
H3K36ME3_HEPG2	121	2340	163975937	3095677412	1E0
H3K4ME3_NHDFAD	45	2340	62813751	3095677412	1E0
H3K4ME3_HCPE	40	2340	56104001	3095677412	1E0
H3K4ME3_HPAF	43	2340	60329457	3095677412	1E0
H3K4ME3_HVMF	44	2340	61902254	3095677412	1E0
H3K4ME3_AOAF	43	2340	60541731	3095677412	1E0
H3K4ME3_NT2D1	44	2340	62226460	3095677412	1E0
H3K4ME3_HMF	45	2340	63672807	3095677412	1E0
H3K4ME3_HMEC	47	2340	66895427	3095677412	1E0
H3K4ME3_HEK293	32	2340	46491184	3095677412	1E0
H3K4ME3_HASP	33	2340	47954228	3095677412	1E0
H3K4ME3_AG09309	39	2340	56360223	3095677412	1E0
H4K20ME1_HEPG2	38	2340	55144793	3095677412	1E0
H3K36ME3_GM12878	153	2340	212359445	3095677412	1E0
H3K4ME3_HL60	29	2340	42757310	3095677412	1E0
H3K36ME3_HSMM	122	2340	171394893	3095677412	1E0
H3K4ME3_HEE	40	2340	59355632	3095677412	1E0
H3K4ME3_HCM	33	2340	50602716	3095677412	1E0
H3K4ME3_HRE	30	2340	46465918	3095677412	1E0
H3K4ME3_H1HESC	42	2340	64198769	3095677412	1E0
H3K4ME3_HCF	31	2340	48567585	3095677412	1E0
H3K4ME3_HBMEC	31	2340	49753106	3095677412	1E0
H3K9ME3_NT2D1	95	2340	142100968	3095677412	1E0
H4K20ME1_HELAS3	16	2340	28290584	3095677412	1E0
H3K36ME3_HUVEC	137	2340	201514679	3095677412	1E0
H3K4ME3_H7ES	28	2340	50836249	3095677412	1E0
H4K20ME1_GM12878	8	2340	19934998	3095677412	1E0
