Name	OccurrencesInSearchInputData	SearchInputDataSize	OccurencesInWholeGenome	WholeGenomeSize	Adjusted PValue
hsa05216	13	2340	2600643	3095677412	4.490433E-5
hsa04974	21	2340	8525248	3095677412	1.106343E-3
hsa04976	14	2340	6484841	3095677412	1.529539E-1
hsa04916	18	2340	9879541	3095677412	1.980586E-1
hsa04730	20	2340	12134264	3095677412	3.454201E-1
hsa04610	10	2340	4106399	3095677412	3.769204E-1
hsa04913	10	2340	4502662	3095677412	7.278288E-1
hsa04080	36	2340	28816968	3095677412	8.29635E-1
hsa04724	28	2340	20785659	3095677412	8.409714E-1
hsa04151	39	2340	32882507	3095677412	1E0
hsa03430	5	2340	1529071	3095677412	1E0
hsa05217	8	2340	3643929	3095677412	1E0
hsa04972	17	2340	11409496	3095677412	1E0
hsa05020	7	2340	3059561	3095677412	1E0
hsa05166	24	2340	18707584	3095677412	1E0
hsa00230	23	2340	18048545	3095677412	1E0
hsa04640	9	2340	4828170	3095677412	1E0
hsa00770	5	2340	1850269	3095677412	1E0
hsa04971	14	2340	9535047	3095677412	1E0
hsa03420	6	2340	2721790	3095677412	1E0
hsa03320	8	2340	4324950	3095677412	1E0
hsa04512	15	2340	10716161	3095677412	1E0
hsa04720	16	2340	11908756	3095677412	1E0
hsa04713	20	2340	16079809	3095677412	1E0
hsa05032	19	2340	15691882	3095677412	1E0
hsa03030	5	2340	2353448	3095677412	1E0
hsa05200	36	2340	34346893	3095677412	1E0
hsa00460	2	2340	394756	3095677412	1E0
hsa00410	5	2340	2420583	3095677412	1E0
hsa00380	5	2340	2551780	3095677412	1E0
hsa05221	8	2340	5200586	3095677412	1E0
hsa05322	8	2340	5282920	3095677412	1E0
hsa00120	3	2340	1087527	3095677412	1E0
hsa04520	15	2340	12327443	3095677412	1E0
hsa05414	17	2340	14471817	3095677412	1E0
hsa05143	6	2340	3584262	3095677412	1E0
hsa05223	10	2340	7391799	3095677412	1E0
hsa04725	18	2340	15843583	3095677412	1E0
hsa05010	15	2340	13062536	3095677412	1E0
hsa05160	11	2340	8959778	3095677412	1E0
hsa05410	15	2340	13227660	3095677412	1E0
hsa04390	20	2340	18774920	3095677412	1E0
hsa02010	7	2340	4937127	3095677412	1E0
hsa05222	12	2340	10094450	3095677412	1E0
hsa00340	3	2340	1404179	3095677412	1E0
hsa05150	5	2340	3164036	3095677412	1E0
hsa04510	25	2340	24932625	3095677412	1E0
