Pathway	Gene	
hsa04115	hsa:6477	
hsa04115	hsa:3486	
hsa04115	hsa:10912	
hsa04115	hsa:1647	
hsa04115	hsa:4616	
hsa04115	hsa:4194	
hsa04115	hsa:1111	
hsa04115	hsa:545	
hsa04115	hsa:11200	
hsa04115	hsa:472	
hsa04115	hsa:56475	
hsa04115	hsa:2810	
hsa04115	hsa:1017	
hsa04115	hsa:898	
hsa04115	hsa:9134	
hsa04115	hsa:7249	
hsa04115	hsa:8493	
hsa04115	hsa:7161	
hsa04115	hsa:900	
hsa04115	hsa:901	
hsa04115	hsa:64326	
hsa04115	hsa:50484	
hsa04115	hsa:6241	
hsa04115	hsa:1643	
hsa04115	hsa:55240	
hsa04115	hsa:5728	
hsa04115	hsa:5268	
hsa04115	hsa:3732	
hsa04115	hsa:7057	
hsa04115	hsa:3479	
hsa04115	hsa:5054	
hsa04115	hsa:575	
hsa04115	hsa:1029	
hsa04115	hsa:1026	
hsa04115	hsa:64393	
hsa04115	hsa:637	
hsa04115	hsa:9538	
hsa04115	hsa:9540	
hsa04115	hsa:355	
hsa04115	hsa:51512	
hsa04115	hsa:581	
hsa04115	hsa:55367	
hsa04115	hsa:8795	
hsa04115	hsa:841	
hsa04115	hsa:983	
hsa04115	hsa:317	
hsa04115	hsa:54205	
hsa04115	hsa:842	
hsa04115	hsa:4193	
hsa04115	hsa:7157	
hsa04115	hsa:25898	
hsa04115	hsa:1019	
hsa04115	hsa:1021	
hsa04115	hsa:595	
hsa04115	hsa:894	
hsa04115	hsa:896	
hsa04115	hsa:64065	
hsa04115	hsa:51246	
hsa04115	hsa:143686	
hsa04115	hsa:27244	
hsa04115	hsa:83667	
hsa04115	hsa:85417	
hsa04115	hsa:891	
hsa04115	hsa:9133	
hsa04115	hsa:836	
hsa04115	hsa:63970	
hsa04115	hsa:27113	
hsa04115	hsa:5366	
