CellLine	GeneType	DnaseOverlapExclusionType	GenerateRandomDataMode	AssociationMeasureType	NumberofSimulations	EnrichmentDecisionType
GM12878	NonExpressingGenes	CompletelyDiscard	woGCM	NOOB	100	ENRICHED_WRT_EMPIRICAL_PVALUE_FROM_RATIO_OF_SAMPLINGS
TPM	NumberofSimulationWithValidEnrichmentDirectoryAndFile
   	   	TopUnknown:0.0	   	   	
ElementType	ElementName	NumberofEnrichment	TypeIErrorwoGCM	PowerwoGCM	
ACTIVATOR	H2AZ	85	0.85	NA	
ACTIVATOR	H3K27AC	100	1.0	NA	
ACTIVATOR	H3K4ME2	96	0.96	NA	
ACTIVATOR	H3K4ME3	99	0.99	NA	
ACTIVATOR	H3K79ME2	100	1.0	NA	
ACTIVATOR	H3K9AC	100	1.0	NA	
ACTIVATOR	POL2	95	0.95	NA	
AMBIGIOUS	H3K36ME3	100	1.0	1.0	
AMBIGIOUS	H3K4ME1	100	1.0	1.0	
AMBIGIOUS	H3K9ME3	17	0.17	0.17	
AMBIGIOUS	H4K20ME1	25	0.25	0.25	

