Name	OccurrencesInSearchInputData	SearchInputDataSize	OccurencesInWholeGenome	WholeGenomeSize	Adjusted PValue
TBP_GM12878	10	2340	2973538	3095677412	4.808389E-2
MAX_HELAS3	9	2340	2455091	3095677412	5.528513E-2
POL24H8_HCT116	15	2340	6407927	3095677412	6.447197E-2
POL24H8_GM12878	14	2340	5906113	3095677412	9.270521E-2
JUND_HEPG2	16	2340	7504985	3095677412	1.113579E-1
GR_A549	14	2340	6031865	3095677412	1.142237E-1
ELF1SC631_HEPG2	10	2340	3431869	3095677412	1.483091E-1
SIN3AK20_HEPG2	8	2340	2231794	3095677412	1.486174E-1
HDAC2SC6296_HEPG2	10	2340	3581903	3095677412	2.057941E-1
TAF7SQ8_K562	4	2340	472362	3095677412	2.065583E-1
HNF4GSC6558_HEPG2	10	2340	3592517	3095677412	2.104762E-1
GABP_H1HESC	5	2340	941766	3095677412	3.424898E-1
NFKB_GM15510	11	2340	4532473	3095677412	3.456454E-1
POL2_K562	21	2340	12594159	3095677412	3.482498E-1
POL24H8_K562	14	2340	7004041	3095677412	4.760307E-1
TAF1_GM12878	5	2340	1029589	3095677412	5.066679E-1
POL2S2_K562	2	2340	75961	3095677412	6.439344E-1
ELK4_HELAS3	6	2340	1639225	3095677412	7.11632E-1
POL2_GM18505	11	2340	4979112	3095677412	7.203124E-1
WHIP_GM12878	3	2340	319298	3095677412	7.938704E-1
RXRA_HEPG2	8	2340	2910053	3095677412	7.971826E-1
GATA2_HUVEC	15	2340	8403376	3095677412	9.568341E-1
CEBPB_HELAS3	17	2340	10170315	3095677412	1E0
ZNF143166181AP_GM12878	9	2340	3771971	3095677412	1E0
CTCF_GM12864	14	2340	7808329	3095677412	1E0
INI1_K562	3	2340	377083	3095677412	1E0
POL2_GM18526	8	2340	3236608	3095677412	1E0
BAF155_HELAS3	6	2340	1957708	3095677412	1E0
BCL3_GM12878	5	2340	1376954	3095677412	1E0
STAT1_K562	4	2340	858356	3095677412	1E0
POL2_GM15510	9	2340	4076166	3095677412	1E0
CMYC_HELAS3	5	2340	1396996	3095677412	1E0
TCF4_HCT116	8	2340	3378952	3095677412	1E0
YY1_GM12892	7	2340	2763432	3095677412	1E0
POL2_ECC1	9	2340	4251262	3095677412	1E0
POL2_RAJI	10	2340	5047324	3095677412	1E0
CTCF_A549	13	2340	7574645	3095677412	1E0
MAX_K562	14	2340	8471765	3095677412	1E0
TAF1_GM12892	5	2340	1525650	3095677412	1E0
ELF1SC631_K562	10	2340	5242710	3095677412	1E0
TBP_HELAS3	8	2340	3717611	3095677412	1E0
ATF3_HEPG2	3	2340	540259	3095677412	1E0
GABP_HEPG2	5	2340	1623923	3095677412	1E0
CTCFSC5916_T47D	10	2340	5382683	3095677412	1E0
NFKB_GM18951	8	2340	3799459	3095677412	1E0
POL2_GM12891	12	2340	7146319	3095677412	1E0
YY1C20_SKNSHRA	7	2340	3088939	3095677412	1E0
OCT2_GM12891	6	2340	2369872	3095677412	1E0
EJUND_K562	10	2340	5489208	3095677412	1E0
POL24H8_GM12892	9	2340	4662775	3095677412	1E0
POU2F2_GM12891	6	2340	2376861	3095677412	1E0
POL2_GM19099	9	2340	4710627	3095677412	1E0
CHD21250_K562	5	2340	1741402	3095677412	1E0
POL2B_NHEK	4	2340	1150460	3095677412	1E0
HEY1_K562	8	2340	4006667	3095677412	1E0
YY1C20_H1HESC	7	2340	3297388	3095677412	1E0
CHD21250_GM12878	4	2340	1207514	3095677412	1E0
RAD21_HEPG2	15	2340	10397906	3095677412	1E0
ATF3_GM12878	2	2340	246871	3095677412	1E0
SMC3AB9263_K562	9	2340	5034685	3095677412	1E0
GABP_K562	7	2340	3420485	3095677412	1E0
INI1_HELAS3	5	2340	1934926	3095677412	1E0
CTCF_HRE	15	2340	10589814	3095677412	1E0
POL2_HELAS3	14	2340	9647365	3095677412	1E0
RAD21_H1HESC	19	2340	14563056	3095677412	1E0
CFOS_HUVEC	17	2340	12589298	3095677412	1E0
POL2_GM10847	5	2340	1983327	3095677412	1E0
CTCF_GM12875	11	2340	6944794	3095677412	1E0
POL2_GM12892	11	2340	6953854	3095677412	1E0
RAD21_SKNSHRA	14	2340	9810329	3095677412	1E0
MAX_HUVEC	4	2340	1345282	3095677412	1E0
CTCF_GM12865	11	2340	7043660	3095677412	1E0
MAFKAB50322_K562	7	2340	3578975	3095677412	1E0
SMC3AB9263_HELAS3	10	2340	6169832	3095677412	1E0
CTCF_NHDFAD	14	2340	9934452	3095677412	1E0
MAFKAB50322_HEPG2	16	2340	11909284	3095677412	1E0
GATA1_PBDE	13	2340	9011678	3095677412	1E0
GATA2_SHSY5Y	13	2340	9029180	3095677412	1E0
POL2_MCF7	6	2340	2845806	3095677412	1E0
SIN3AK20_K562	4	2340	1405213	3095677412	1E0
CTCF_GM12874	11	2340	7234555	3095677412	1E0
HAE2F1_MCF7	11	2340	7302170	3095677412	1E0
TAF7SQ8_H1HESC	4	2340	1457266	3095677412	1E0
BCLAF1M33_GM12878	3	2340	830281	3095677412	1E0
ELK4_HEK293B	2	2340	332521	3095677412	1E0
GABP_HELAS3	3	2340	845629	3095677412	1E0
ENR4A1_K562	1	2340	37945	3095677412	1E0
FOXA1C20_HEPG2	13	2340	9369762	3095677412	1E0
CTCF_HMF	13	2340	9380100	3095677412	1E0
TBP_HEPG2	6	2340	3027045	3095677412	1E0
SIX5_GM12878	3	2340	878858	3095677412	1E0
P300_HEPG2	10	2340	6553063	3095677412	1E0
CTCF_HSMMT	15	2340	11399296	3095677412	1E0
JUND_H1HESC	4	2340	1532955	3095677412	1E0
TCF12_HEPG2	2	2340	361394	3095677412	1E0
MXI1BHLH_HELAS3	5	2340	2302924	3095677412	1E0
TAF1_GM12891	5	2340	2312637	3095677412	1E0
SP1_K562	3	2340	933828	3095677412	1E0
SIN3AK20_GM12878	5	2340	2357438	3095677412	1E0
CTCF_H1HESC	15	2340	11686892	3095677412	1E0
ELF1SC631_GM12878	8	2340	4937564	3095677412	1E0
CTCF_FIBROBL	10	2340	6802170	3095677412	1E0
GATA3SC268_T47D	10	2340	6811182	3095677412	1E0
YY1C20_GM12891	5	2340	2403742	3095677412	1E0
YY1_K562	8	2340	4969805	3095677412	1E0
CTCF_CACO2	11	2340	7792206	3095677412	1E0
CCNT2_K562	8	2340	4996049	3095677412	1E0
GTF2F1RAP_HELAS3	5	2340	2445607	3095677412	1E0
CTCF_HRPE	11	2340	7877534	3095677412	1E0
POL2_GM12878	14	2340	10911299	3095677412	1E0
FOSL2_HEPG2	7	2340	4179130	3095677412	1E0
STAT1_HELAS3	6	2340	3332651	3095677412	1E0
NRSF_U87	3	2340	1021258	3095677412	1E0
CTCF_SAEC	12	2340	9030179	3095677412	1E0
RXRA_H1HESC	2	2340	460714	3095677412	1E0
CTCF_HEPG2	16	2340	13264169	3095677412	1E0
POL2_GM18951	8	2340	5256045	3095677412	1E0
CTCF_HL60	5	2340	2615048	3095677412	1E0
TR4_HELAS3	2	2340	476202	3095677412	1E0
CTCF_SKNSHRA	12	2340	9269950	3095677412	1E0
IRF4_GM12878	6	2340	3528068	3095677412	1E0
IRF4M17_GM12878	6	2340	3528068	3095677412	1E0
POL2_PBDE	9	2340	6328035	3095677412	1E0
THAP1SC98174_K562	2	2340	495874	3095677412	1E0
CTCF_PROGFIB	9	2340	6348402	3095677412	1E0
CTCF_HMEC	12	2340	9334209	3095677412	1E0
CHD21250_HEPG2	3	2340	1137175	3095677412	1E0
GABP_GM12878	3	2340	1148640	3095677412	1E0
NANOGSC33759_H1HESC	4	2340	1914728	3095677412	1E0
ETS1_GM12878	2	2340	519862	3095677412	1E0
GTF2B_K562	2	2340	522178	3095677412	1E0
MAX_H1HESC	4	2340	1933278	3095677412	1E0
P300_T47D	5	2340	2799517	3095677412	1E0
HNF4AH171_HEPG2	7	2340	4606656	3095677412	1E0
CMYC_K562	10	2340	7547583	3095677412	1E0
EHDAC8_K562	1	2340	90621	3095677412	1E0
NRSF_PFSK1	3	2340	1217796	3095677412	1E0
POL24H8_H1HESC	6	2340	3726398	3095677412	1E0
MAFKSC477_HEPG2	10	2340	7602063	3095677412	1E0
CTCF_NHA	11	2340	8641460	3095677412	1E0
IRF3_HEPG2	1	2340	93895	3095677412	1E0
YY1_GM12878	8	2340	5655516	3095677412	1E0
ETS1_K562	4	2340	2037228	3095677412	1E0
CTCFLSC98982_K562	4	2340	2045616	3095677412	1E0
CEBPB_HEPG2	10	2340	7697967	3095677412	1E0
CTCFC20_GM12878	10	2340	7700844	3095677412	1E0
POL2_GLIOBLA	5	2340	2922581	3095677412	1E0
CTCF_AG04450	8	2340	5734413	3095677412	1E0
HDAC2SC6296_K562	3	2340	1273556	3095677412	1E0
CTCF_GM12873	10	2340	7758558	3095677412	1E0
BAF170_HELAS3	2	2340	593489	3095677412	1E0
CMYC_NB4	4	2340	2085394	3095677412	1E0
POL2B_K562	5	2340	2950454	3095677412	1E0
SP1_HEPG2	7	2340	4808490	3095677412	1E0
TCF12_GM12878	5	2340	2978011	3095677412	1E0
ZNF263_TREXHEK293	13	2340	10989041	3095677412	1E0
POL2B_HUVEC	3	2340	1331944	3095677412	1E0
CTCF_HPAF	14	2340	12123628	3095677412	1E0
SP2SC643_K562	2	2340	627191	3095677412	1E0
TR4_HEPG2B	2	2340	628528	3095677412	1E0
CTCF_GM12872	10	2340	7927196	3095677412	1E0
ERALPHAA_ECC1	6	2340	3974798	3095677412	1E0
POU2F2_GM12878	5	2340	3052591	3095677412	1E0
TBP_K562	6	2340	3979901	3095677412	1E0
FOXA1SC101058_HEPG2	10	2340	7980879	3095677412	1E0
POL2_HCT116	4	2340	2187366	3095677412	1E0
