#batch_id	query_species	query_name	query_ucsc	query_acc	target_species	target_name	target_ucsc	target_acc	alignment_date
12531	Macaca fascicularis	CE_1.0		GCA_000230815.1	Macaca fascicularis	Macaca_fascicularis_5.0		GCF_000364345.1	10/18/2014
12541	Ciona intestinalis	KH		GCF_000224145.1	Ciona intestinalis	KH		GCF_000224145.2	10/18/2014
12551	Macaca mulatta	CR_1.0	rheMac3	GCA_000230795.1	Macaca mulatta	Mmul_051212		GCF_000002255.3	10/18/2014
12611	Macaca fascicularis	MacFas_Jun2011		GCA_000222185.1	Macaca fascicularis	Macaca_fascicularis_5.0		GCF_000364345.1	10/18/2014
85153	Arabidopsis thaliana	TAIR9		GCF_000001735.2	Arabidopsis thaliana	TAIR10		GCF_000001735.3	09/20/2014
85163	Arabidopsis thaliana	TAIR8		GCF_000001735.1	Arabidopsis thaliana	TAIR10		GCF_000001735.3	09/20/2014
85173	Drosophila melanogaster	Release 6 plus MT		GCF_000001215.3	Drosophila melanogaster	Release 6 plus ISO1 MT		GCF_000001215.4	09/20/2014
85183	Drosophila melanogaster	Release 5		GCF_000001215.2	Drosophila melanogaster	Release 6 plus ISO1 MT		GCF_000001215.4	09/20/2014
85193	Drosophila melanogaster	Release 5		GCF_000001215.2	Drosophila melanogaster	Release 6 plus MT		GCF_000001215.3	09/20/2014
85203	Homo sapiens	CRA_TCAGchr7v2		GCF_000002135.2	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85213	Homo sapiens	NCBI33		GCF_000001405.8	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85223	Homo sapiens	NCBI34	hg16	GCF_000001405.10	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85233	Homo sapiens	NCBI35	hg17	GCF_000001405.11	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85253	Homo sapiens	GRCh37	hg19	GCF_000001405.13	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85263	Homo sapiens	GRCh37.p2		GCF_000001405.14	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85273	Homo sapiens	NCBI36	hg18	GCF_000001405.12	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85283	Homo sapiens	GRCh37.p11		GCF_000001405.23	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85293	Homo sapiens	GRCh37.p10		GCF_000001405.22	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85303	Homo sapiens	GRCh37.p13		GCF_000001405.25	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
85313	Homo sapiens	GRCh37.p12		GCF_000001405.24	Homo sapiens	GRCh38	hg38	GCF_000001405.26	09/20/2014
