Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727501	7728102	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36787791	36789759	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680325	42680502	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr1	234348401	234348401	chr1	234348244	234349584	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr2	102315056	102315056	chr2	102314916	102315062	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr2	177146274	177146274	chr2	177146020	177146317	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063671	221064081	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr2	238224334	238224334	chr2	238223803	238224423	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr3	4463007	4463007	chr3	4462997	4463092	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968702	52969019	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr3	61655973	61655973	chr3	61655799	61656003	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr3	122388463	122388463	chr3	122388289	122388473	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr3	126265705	126265705	chr3	126265633	126266175	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr4	3454453	3454453	chr4	3454198	3454556	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr4	55526919	55526919	chr4	55526751	55527109	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57941020	57941261	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr4	88313178	88313178	chr4	88312940	88313219	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr4	186909595	186909595	chr4	186909202	186909789	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137796976	137797439	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr5	137822865	137822865	chr5	137822648	137823126	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913103	167913769	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr6	84140037	84140037	chr6	84140001	84140304	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr6	134951992	134951992	chr6	134951676	134952099	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409427	138409767	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862076	170862591	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr7	155257893	155257893	chr7	155256303	155258580	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315760	95316381	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356272	119356571	MYOMETRIAL	MyometrialDukeDNaseSeq.pk
