Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727326	7731061	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr1	36789545	36789545	chr1	36788248	36789969	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246891	113250798	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr1	172353470	172353470	chr1	172352023	172353749	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr1	183188061	183188061	chr1	183186891	183189856	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr1	183241261	183241261	chr1	183241059	183242874	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr2	12273092	12273092	chr2	12271796	12273123	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr2	45113851	45113851	chr2	45112390	45114633	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr2	144282077	144282077	chr2	144281423	144283920	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr2	238224334	238224334	chr2	238222740	238225313	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr3	19931169	19931169	chr3	19929966	19931595	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr3	42914011	42914011	chr3	42912799	42914601	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378455	44381633	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr3	155743406	155743406	chr3	155742440	155743508	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311445	88313835	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr4	119922110	119922110	chr4	119921006	119922525	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr4	170580817	170580817	chr4	170580372	170582012	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr4	186909595	186909595	chr4	186908853	186909937	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	78041975	78041975	chr5	78040031	78042258	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	92528308	92528308	chr5	92527350	92529022	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	106426492	106426492	chr5	106426065	106426876	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	118734730	118734730	chr5	118734481	118735600	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	137797379	137797379	chr5	137796690	137797926	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798870	137802922	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912367	167914591	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	173738576	173738576	chr5	173738385	173739878	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr5	175242384	175242384	chr5	175241260	175243165	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	6712344	6712344	chr6	6711727	6716056	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102938	26105144	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	46457835	46457835	chr6	46457183	46460304	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	71914837	71914837	chr6	71911979	71915544	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	84140037	84140037	chr6	84139299	84142361	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	130069290	130069290	chr6	130068718	130073846	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	130071840	130071840	chr6	130068718	130073846	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	130073290	130073290	chr6	130068718	130073846	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	134951992	134951992	chr6	134951406	134952576	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	136359445	136359445	chr6	136357441	136359905	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	160210060	160210060	chr6	160209306	160212478	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	169357723	169357723	chr6	169356091	169358041	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr6	170862335	170862335	chr6	170861495	170864367	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
chr7	77044447	77044447	chr7	77044372	77046682	H2AZ	HSMMT	wgEncodeBroadHistoneHsmmtH2azStdAln.narrowPeak
