Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr3	42914011	42914011	chr3	42913683	42917632	NM_004391	EXON1	CYP8B1	1582
chr4	100333931	100333931	chr4	100333417	100334328	NM_000673	EXON1	ADH7	131
chr4	100333931	100333931	chr4	100333417	100334328	NM_001166504	EXON1	ADH7	131
chr8	22108610	22108610	chr8	22107908	22108679	NM_001722	EXON9	POLR3D	661
chr16	633353	633353	chr16	632882	634135	NM_148920	EXON10	PIGQ	9091
chr16	633353	633353	chr16	632882	634135	NM_004204	EXON11	PIGQ	9091
chr19	49206984	49206984	chr19	49206211	49209190	NM_001097638	EXON2	FUT2	2524
chr19	49206984	49206984	chr19	49206211	49209190	NM_000511	EXON2	FUT2	2524
chr19	49207205	49207205	chr19	49206211	49209190	NM_001097638	EXON2	FUT2	2524
chr19	49207205	49207205	chr19	49206211	49209190	NM_000511	EXON2	FUT2	2524
chr19	49208864	49208864	chr19	49206211	49209190	NM_001097638	EXON2	FUT2	2524
chr19	49208864	49208864	chr19	49206211	49209190	NM_000511	EXON2	FUT2	2524
