Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727315	7728738	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr1	7727853	7727853	chr1	7727368	7728271	HELAS3	HelaS3DukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36787715	36790231	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr1	36789545	36789545	chr1	36788033	36789846	HELAS3	HelaS3DukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680306	42680554	HELAS3	HelaS3DukeDNaseSeq.pk
chr1	113248364	113248364	chr1	113247240	113250657	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr1	168062654	168062654	chr1	168061857	168063144	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr1	168062654	168062654	chr1	168061913	168063051	HELAS3	HelaS3DukeDNaseSeq.pk
chr1	202075668	202075668	chr1	202074616	202077932	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr1	202075668	202075668	chr1	202074657	202075939	HELAS3	HelaS3DukeDNaseSeq.pk
chr2	43165146	43165146	chr2	43163019	43165402	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr2	72024969	72024969	chr2	72024844	72025024	HELAS3	HelaS3DukeDNaseSeq.pk
chr2	102315056	102315056	chr2	102313359	102315226	HELAS3	HelaS3DukeDNaseSeq.pk
chr2	102315056	102315056	chr2	102313266	102315486	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr2	221063850	221063850	chr2	221063659	221064126	HELAS3	HelaS3DukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063620	221064159	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr3	12857492	12857492	chr3	12857041	12857759	HELAS3	HelaS3DukeDNaseSeq.pk
chr3	44380487	44380487	chr3	44378873	44380561	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr3	44380487	44380487	chr3	44379359	44380529	HELAS3	HelaS3DukeDNaseSeq.pk
chr3	46173445	46173445	chr3	46173406	46173869	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr4	3454453	3454453	chr4	3454278	3454503	HELAS3	HelaS3DukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57940941	57941357	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr4	57941159	57941159	chr4	57940990	57941303	HELAS3	HelaS3DukeDNaseSeq.pk
chr4	184345713	184345713	chr4	184345351	184345714	HELAS3	HelaS3DukeDNaseSeq.pk
chr5	60936295	60936295	chr5	60936024	60936801	HELAS3	HelaS3DukeDNaseSeq.pk
chr5	60936295	60936295	chr5	60935940	60936851	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr5	137782203	137782203	chr5	137779513	137782242	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr5	167913602	167913602	chr5	167913053	167914053	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr5	167913602	167913602	chr5	167913098	167913972	HELAS3	HelaS3DukeDNaseSeq.pk
chr5	175242384	175242384	chr5	175241613	175242395	HELAS3	HelaS3DukeDNaseSeq.pk
chr5	175242384	175242384	chr5	175241564	175242507	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr6	6712344	6712344	chr6	6712324	6714193	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr6	16332729	16332729	chr6	16332318	16332736	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr6	84140037	84140037	chr6	84139815	84141392	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr6	84140037	84140037	chr6	84139895	84141321	HELAS3	HelaS3DukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409516	138409885	HELAS3	HelaS3DukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170861977	170862609	HELAS3	HelaS3DukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170861931	170862634	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr8	26437075	26437075	chr8	26437033	26437116	HELAS3	HelaS3DukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356233	119356489	HELAS3	HelaS3DukeDNaseSeq.pk
chr8	143867904	143867904	chr8	143862534	143868215	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr8	143867904	143867904	chr8	143867904	143868136	HELAS3	HelaS3DukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983001	115984426	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr9	115983539	115983539	chr9	115983089	115984215	HELAS3	HelaS3DukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341240	13342365	HELAS3	HelaS3DukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341206	13342418	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr10	29409191	29409191	chr10	29409107	29409647	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr10	29409191	29409191	chr10	29409132	29409617	HELAS3	HelaS3DukeDNaseSeq.pk
chr11	2933064	2933064	chr11	2931113	2935241	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr11	2933064	2933064	chr11	2932185	2935167	HELAS3	HelaS3DukeDNaseSeq.pk
chr11	35161075	35161075	chr11	35159943	35161852	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr11	35161075	35161075	chr11	35160011	35161797	HELAS3	HelaS3DukeDNaseSeq.pk
chr11	36056921	36056921	chr11	36056136	36057297	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr11	36056921	36056921	chr11	36056189	36057227	HELAS3	HelaS3DukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47599929	47601130	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr11	47600437	47600437	chr11	47599972	47601080	HELAS3	HelaS3DukeDNaseSeq.pk
chr11	69352136	69352136	chr11	69352020	69352201	HELAS3	HelaS3DukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729682	128730111	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr11	128729844	128729844	chr11	128729738	128730078	HELAS3	HelaS3DukeDNaseSeq.pk
chr12	50303926	50303926	chr12	50303177	50304349	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr12	50303926	50303926	chr12	50303273	50304211	HELAS3	HelaS3DukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58298929	58299633	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr12	58299249	58299249	chr12	58299000	58299606	HELAS3	HelaS3DukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364476	111366199	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr13	111365588	111365588	chr13	111364533	111366156	HELAS3	HelaS3DukeDNaseSeq.pk
chr14	34155697	34155697	chr14	34155318	34155788	HELAS3	HelaS3DukeDNaseSeq.pk
chr14	34155697	34155697	chr14	34155271	34155838	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr14	50433110	50433110	chr14	50433079	50433562	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr15	90895957	90895957	chr15	90894901	90896215	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr15	90895957	90895957	chr15	90894995	90896185	HELAS3	HelaS3DukeDNaseSeq.pk
chr16	633353	633353	chr16	632162	633805	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr16	633353	633353	chr16	632259	633697	HELAS3	HelaS3DukeDNaseSeq.pk
chr16	671681	671681	chr16	671000	672683	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr16	671681	671681	chr16	671134	672665	HELAS3	HelaS3DukeDNaseSeq.pk
chr16	1481019	1481019	chr16	1480906	1485507	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr16	1495299	1495299	chr16	1492357	1498969	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr16	1495299	1495299	chr16	1493179	1497534	HELAS3	HelaS3DukeDNaseSeq.pk
chr16	14098820	14098820	chr16	14098392	14098955	HELAS3	HelaS3DukeDNaseSeq.pk
chr16	57771125	57771125	chr16	57768702	57771193	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr16	65905022	65905022	chr16	65904989	65905123	HELAS3	HelaS3DukeDNaseSeq.pk
chr17	959514	959514	chr17	959040	959986	HELAS3	idrPool.HelaS3_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HelaS3_B2_peaks_VS_DukeDNase_HelaS3_B3_peaks.npk2.narrowPeak
chr17	959514	959514	chr17	959078	959738	HELAS3	HelaS3DukeDNaseSeq.pk
