Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968680	52968829	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr4	55526919	55526919	chr4	55526900	55527049	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr4	55526919	55526919	chr4	55526900	55527049	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041940	78042089	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041920	78042069	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802280	137802429	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805480	137805909	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139940	84140089	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	BJ	BJ-DS10018.peaks.fdr0.01.hg19.bed
chr8	18467518	18467518	chr8	18467380	18467529	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
chr8	25281328	25281328	chr8	25281200	25281349	BJ	BJ-DS10081.peaks.fdr0.01.hg19.bed
