Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr3	44380487	44380487	chr3	44379531	44380526	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr3	44380487	44380487	chr3	44379531	44380526	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr5	167913602	167913602	chr5	167913366	167913653	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr6	91098429	91098429	chr6	91098172	91098441	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr6	170862335	170862335	chr6	170862194	170862498	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr9	115983539	115983539	chr9	115983392	115983652	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr11	47600437	47600437	chr11	47600382	47600803	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr13	111365588	111365588	chr13	111365485	111365848	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr16	637211	637211	chr16	637147	637337	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr19	49621963	49621963	chr19	49621828	49622095	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
chr22	18560569	18560569	chr22	18560408	18560609	POL2	RAJI	spp.optimal.wgEncodeSydhTfbsRajiPol2UcdAlnRep0_VS_wgEncodeSydhTfbsRajiInputUcdAln.narrowPeak
