Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	170862335	170862335	GABP_HEPG2	170862244	170862553	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_HEPG2	170862244	170862553	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_K562	170862240	170862536	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_K562	170862240	170862536	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_H1HESC	170862255	170862510	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_H1HESC	170862255	170862510	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_GM12878	170862307	170862435	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_GM12878	170862307	170862435	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_HELAS3	170862333	170862485	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05168
chr6	170862335	170862335	GABP_HELAS3	170862333	170862485	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05168
chr19	4769739	4769739	GABP_K562	4769539	4769808	NM_182919	4715935	4805934	3D	TICAM1	148022	hsa05168
