Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238234940	238235089	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238234940	238235089	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4463000	4463149	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr3	37952593	37952593	chr3	37952580	37952729	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr3	37952593	37952593	chr3	37952580	37952729	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969360	37969509	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969400	37969549	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352820	99352969	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr8	104089617	104089617	chr8	104089600	104089749	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356340	119356489	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356380	119356529	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr10	5621627	5621627	chr10	5621480	5621629	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794460	111794609	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794500	111794649	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr10	129676168	129676168	chr10	129676040	129676189	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr10	129676168	129676168	chr10	129676080	129676229	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr12	3096133	3096133	chr12	3096060	3096209	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr12	3096133	3096133	chr12	3096120	3096269	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr12	116481665	116481665	chr12	116481540	116481689	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374300	103374449	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374320	103374469	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13150.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155600	34155749	HMVEC_DLYNEO	HMVEC_dLyNeo-DS13146.peaks.fdr0.01.hg19.bed
