Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	202075668	202075668	chr1	202075526	202075769	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Estradia1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr1	202075668	202075668	chr1	202075542	202075751	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr2	129124334	129124334	chr2	129124316	129124591	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Estradia1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr2	129124334	129124334	chr2	129124303	129124562	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr2	129124529	129124529	chr2	129124316	129124591	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Estradia1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr2	129124529	129124529	chr2	129124303	129124562	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr4	54465286	54465286	chr4	54465201	54465476	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Estradia1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr4	148956820	148956820	chr4	148956653	148956897	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Estradia1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr4	148956820	148956820	chr4	148956675	148956861	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560567	18560826	ERALPHAA	ECC1	spp.optimal.wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hAlnRep0_VS_wgEncodeHaibTfbsEcc1EralphaaV0416102Dmso2AlnRep0.narrowPeak
