Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36786064	36790137	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246182	113250784	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr1	230238820	230238820	chr1	230238640	230242112	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312704	102318190	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571673	153577082	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378781	44381701	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr4	55526919	55526919	chr4	55523146	55528017	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310433	88313402	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170580110	170582715	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr5	106971567	106971567	chr5	106970546	106972620	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798934	137804386	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912896	167915177	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738527	173739681	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103081	26105298	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr6	46457835	46457835	chr6	46457497	46460131	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138923	84141725	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136357651	136363063	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr6	138409766	138409766	chr6	138409582	138410165	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208227	160213450	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860030	170865477	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433213	26439056	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981639	115985999	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340785	13342796	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114709143	114716945	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35158889	35167254	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598763	47602709	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229803	118232009	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390484	49391321	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50297099	50298652	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363393	111370507	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894692	90896379	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr16	637211	637211	chr16	637002	641747	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57022015	57025330	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768041	57771504	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr17	4316477	4316477	chr17	4316149	4317068	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48269582	48283337	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr17	74519373	74519373	chr17	74519010	74519534	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr17	78726260	78726260	chr17	78724937	78726465	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846130	1849310	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2233941	2241347	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr19	4585170	4585170	chr19	4583966	4585292	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621250	49623986	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr19	53634926	53634926	chr19	53634643	53636679	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18558779	18562811	H3K4ME3	AG04449	wgEncodeUwHistoneAg04449H3k4me3StdAln.narrowPeak
