Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	40426921	40426921	chr1	40425223	40427151	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr1	113242121	113242121	chr1	113241798	113246129	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr1	183184847	183184847	chr1	183182999	183190176	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr1	183188061	183188061	chr1	183182999	183190176	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr2	73329871	73329871	chr2	73327783	73331549	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr2	73330953	73330953	chr2	73327783	73331549	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr2	102315056	102315056	chr2	102314792	102317968	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr2	128264245	128264245	chr2	128263898	128267129	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr2	153572155	153572155	chr2	153569523	153572955	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr2	225434444	225434444	chr2	225434390	225436097	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr5	137802403	137802403	chr5	137801471	137805024	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr6	20408918	20408918	chr6	20407301	20410912	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr6	160210060	160210060	chr6	160205558	160210166	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr10	82247138	82247138	chr10	82244301	82252434	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr10	128602100	128602100	chr10	128601221	128604963	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr10	128604612	128604612	chr10	128601221	128604963	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr11	2712285	2712285	chr11	2711388	2716077	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr11	2715531	2715531	chr11	2711388	2716077	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr12	4388270	4388270	chr12	4385021	4391129	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr12	116481665	116481665	chr12	116481502	116483714	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr12	124983615	124983615	chr12	124981301	124985621	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr13	30101279	30101279	chr13	30098236	30104004	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr13	30107284	30107284	chr13	30105869	30108819	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr13	100178626	100178626	chr13	100178438	100181218	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr16	645967	645967	chr16	642729	647448	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr16	671681	671681	chr16	670785	672536	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr16	88807337	88807337	chr16	88802946	88807727	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr17	36898392	36898392	chr17	36897001	36900772	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr17	70431495	70431495	chr17	70430863	70434620	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr19	1847697	1847697	chr19	1845532	1848065	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr19	2238666	2238666	chr19	2238277	2245470	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr19	57804361	57804361	chr19	57801799	57804399	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr20	60379459	60379459	chr20	60378351	60386880	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr21	27446431	27446431	chr21	27445322	27448066	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr21	27520110	27520110	chr21	27519703	27523171	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chr22	38158740	38158740	chr22	38158210	38159665	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
chrX	41210941	41210941	chrX	41208993	41211278	H4K20ME1	NHEK	wgEncodeBroadHistoneNhekH4k20me1StdAln.narrowPeak
