Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727685	7727902	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr3	37489414	37489414	chr3	37489320	37489523	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454312	3454469	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130073094	130073297	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr9	4090723	4090723	chr9	4090619	4090822	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729832	128730002	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390645	49390767	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299161	58299429	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519259	74519427	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539077	38539280	CTCFSC5916	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
