Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	HEY1_K562	137801040	137804763	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137805651	137805651	HEY1_K562	137804725	137806386	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	HEY1_K562	137804725	137806386	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	HEY1_K562	137804725	137806386	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr6	170862335	170862335	HEY1_K562	170862184	170862473	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	HEY1_K562	170862184	170862473	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	HEY1_HEPG2	170862203	170862469	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	HEY1_HEPG2	170862203	170862469	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr9	115983539	115983539	HEY1_K562	115983386	115983625	NM_139286	115929289	116019288	3D	CDC26	246184	hsa05166
chr12	49390676	49390676	HEY1_K562	49390643	49390882	NM_003394	49375641	49465640	5D	WNT10B	7480	hsa05166
chr12	49390676	49390676	HEY1_K562	49390643	49390882	NM_005430	49386396	49476395	3D	WNT1	7471	hsa05166
