Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727546	7728084	FB8470	FB8470DukeDNaseSeq.pk
chr2	177146274	177146274	chr2	177146064	177146323	FB8470	FB8470DukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063709	221064055	FB8470	FB8470DukeDNaseSeq.pk
chr2	238635136	238635136	chr2	238635034	238635154	FB8470	FB8470DukeDNaseSeq.pk
chr3	4463007	4463007	chr3	4462853	4463217	FB8470	FB8470DukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968641	52969014	FB8470	FB8470DukeDNaseSeq.pk
chr4	55526919	55526919	chr4	55526835	55527145	FB8470	FB8470DukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137796981	137797423	FB8470	FB8470DukeDNaseSeq.pk
chr5	137822865	137822865	chr5	137822743	137823116	FB8470	FB8470DukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913182	167914101	FB8470	FB8470DukeDNaseSeq.pk
chr6	165390	165390	chr6	165194	165628	FB8470	FB8470DukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409693	138409780	FB8470	FB8470DukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862228	170862628	FB8470	FB8470DukeDNaseSeq.pk
chr7	130009352	130009352	chr7	130009008	130009506	FB8470	FB8470DukeDNaseSeq.pk
chr7	150565219	150565219	chr7	150565137	150565359	FB8470	FB8470DukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315786	95316361	FB8470	FB8470DukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983439	115984083	FB8470	FB8470DukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341300	13342238	FB8470	FB8470DukeDNaseSeq.pk
chr10	29430623	29430623	chr10	29430610	29431061	FB8470	FB8470DukeDNaseSeq.pk
chr10	129959057	129959057	chr10	129959011	129959235	FB8470	FB8470DukeDNaseSeq.pk
chr11	12290811	12290811	chr11	12290648	12290996	FB8470	FB8470DukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600095	47601089	FB8470	FB8470DukeDNaseSeq.pk
chr11	47907640	47907640	chr11	47907606	47907995	FB8470	FB8470DukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390485	49390923	FB8470	FB8470DukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299088	58299408	FB8470	FB8470DukeDNaseSeq.pk
chr13	30107284	30107284	chr13	30107132	30107329	FB8470	FB8470DukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364393	111366183	FB8470	FB8470DukeDNaseSeq.pk
chr14	52250689	52250689	chr14	52250594	52250836	FB8470	FB8470DukeDNaseSeq.pk
chr14	59922319	59922319	chr14	59922273	59922373	FB8470	FB8470DukeDNaseSeq.pk
chr14	77943615	77943615	chr14	77943476	77943823	FB8470	FB8470DukeDNaseSeq.pk
chr15	90895957	90895957	chr15	90895915	90896131	FB8470	FB8470DukeDNaseSeq.pk
chr15	99498084	99498084	chr15	99497666	99498134	FB8470	FB8470DukeDNaseSeq.pk
chr16	57771125	57771125	chr16	57770440	57771377	FB8470	FB8470DukeDNaseSeq.pk
chr17	959514	959514	chr17	959176	959639	FB8470	FB8470DukeDNaseSeq.pk
chr17	4316477	4316477	chr17	4316465	4316863	FB8470	FB8470DukeDNaseSeq.pk
chr17	74519373	74519373	chr17	74519188	74519573	FB8470	FB8470DukeDNaseSeq.pk
chr19	495721	495721	chr19	495233	495957	FB8470	FB8470DukeDNaseSeq.pk
chr19	1847697	1847697	chr19	1847411	1847983	FB8470	FB8470DukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4769493	4769896	FB8470	FB8470DukeDNaseSeq.pk
chr19	49621963	49621963	chr19	49621839	49622757	FB8470	FB8470DukeDNaseSeq.pk
chr21	37872446	37872446	chr21	37872347	37872780	FB8470	FB8470DukeDNaseSeq.pk
chr22	18560569	18560569	chr22	18560358	18560986	FB8470	FB8470DukeDNaseSeq.pk
