Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr5	137802403	137802403	POL24H8_HCT116	137802010	137803191	NM_004730	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137802403	137802403	POL24H8_HCT116	137802010	137803191	NR_045994	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137802403	137802403	POL24H8_HCT116	137802010	137803191	NR_045992	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137802403	137802403	POL24H8_HCT116	137802010	137803191	NM_004730	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137802403	137802403	POL24H8_HCT116	137802010	137803191	NR_045994	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137802403	137802403	POL24H8_HCT116	137802010	137803191	NR_045992	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137805651	137805651	POL24H8_HCT116	137804894	137806239	NM_004730	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137805651	137805651	POL24H8_HCT116	137804894	137806239	NR_045994	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137805651	137805651	POL24H8_HCT116	137804894	137806239	NR_045992	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137805651	137805651	POL24H8_HCT116	137804894	137806239	NM_004730	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137805651	137805651	POL24H8_HCT116	137804894	137806239	NR_045994	137741781	137831780	3D	ETF1	2107	hsa03015
chr5	137805651	137805651	POL24H8_HCT116	137804894	137806239	NR_045992	137741781	137831780	3D	ETF1	2107	hsa03015
