Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727408	7728220	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr1	22224101	22224101	chr1	22223330	22224253	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788414	36789770	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680247	42680555	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr1	168062654	168062654	chr1	168062213	168062728	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr1	202075668	202075668	chr1	202074652	202075817	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr2	74847454	74847454	chr2	74847365	74847685	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063676	221064071	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr3	44380487	44380487	chr3	44379367	44380494	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968689	52969040	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr3	122388463	122388463	chr3	122388154	122388594	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr4	3454453	3454453	chr4	3454173	3454648	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57941026	57941318	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr5	1477230	1477230	chr5	1469940	1477825	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr5	31989983	31989983	chr5	31989916	31990137	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr5	33950702	33950702	chr5	33950669	33951251	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr5	60936295	60936295	chr5	60935908	60936901	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr5	64106917	64106917	chr5	64106909	64107180	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr5	95033840	95033840	chr5	95033491	95034323	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137797076	137797405	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913081	167914072	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr6	84140037	84140037	chr6	84139911	84140454	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr6	130073290	130073290	chr6	130073078	130073314	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409583	138409919	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862273	170862530	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr7	155257893	155257893	chr7	155257820	155258141	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356185	119356572	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr8	121244065	121244065	chr8	121243785	121244115	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr8	142295964	142295964	chr8	142295802	142296095	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr8	143867904	143867904	chr8	143867845	143868083	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr8	143887956	143887956	chr8	143887266	143888401	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983267	115984258	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341266	13342311	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr10	29409191	29409191	chr10	29409130	29409633	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr11	2933064	2933064	chr11	2932900	2935024	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr11	9010736	9010736	chr11	9010080	9011405	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr11	35161075	35161075	chr11	35159893	35161808	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr11	36056921	36056921	chr11	36056145	36057131	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47599850	47601845	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr12	30946068	30946068	chr12	30945493	30946205	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr12	50303926	50303926	chr12	50303322	50304527	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299024	58299524	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr12	58705074	58705074	chr12	58704250	58705165	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364478	111366105	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
chr14	34155697	34155697	chr14	34155349	34155875	HELAS3_IFNA	HelaS3_IFNADukeDNaseSeq.pk
