Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr17	74519373	74519373	RAD21_H1HESC	74519231	74519490	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_H1HESC	74519231	74519490	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_HEPG2	74519235	74519489	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_HEPG2	74519235	74519489	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_SKNSHRA	74519242	74519498	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_SKNSHRA	74519242	74519498	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_K562	74519255	74519485	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_K562	74519255	74519485	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_H1HESC	74519256	74519462	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_H1HESC	74519256	74519462	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_HEPG2	74519261	74519484	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_HEPG2	74519261	74519484	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_GM12878	74519268	74519466	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_GM12878	74519268	74519466	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_HELAS3	74519267	74519479	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_HELAS3	74519267	74519479	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_K562	74519274	74519489	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_K562	74519274	74519489	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_GM12878	74519285	74519453	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	RAD21_GM12878	74519285	74519453	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
