Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr5	167913602	167913602	chr5	167913338	167913641	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng6hStdAlnRep1.narrowPeak
chr6	160210060	160210060	chr6	160209940	160210243	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfna6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfna6hStdAlnRep1.narrowPeak
chr6	160210060	160210060	chr6	160209969	160210272	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng6hStdAlnRep1.narrowPeak
chr6	160210060	160210060	chr6	160209965	160210244	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
chr6	160210060	160210060	chr6	160209975	160210274	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfna30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfna30StdAlnRep1.narrowPeak
chr6	170862335	170862335	chr6	170862178	170862481	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfna6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfna6hStdAlnRep1.narrowPeak
chr6	170862335	170862335	chr6	170862182	170862485	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng6hStdAlnRep1.narrowPeak
chr6	170862335	170862335	chr6	170862215	170862514	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfna30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfna30StdAlnRep1.narrowPeak
chr6	170862335	170862335	chr6	170862232	170862511	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
chr9	115983539	115983539	chr9	115983512	115983791	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
chr11	47600437	47600437	chr11	47600433	47600712	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
chr11	47600437	47600437	chr11	47600434	47600737	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng6hStdAlnRep1.narrowPeak
chr12	50303926	50303926	chr12	50303727	50304006	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299094	58299393	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfna30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfna30StdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299097	58299400	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng6hStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299121	58299400	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299135	58299438	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfna6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfna6hStdAlnRep1.narrowPeak
chr19	1847697	1847697	chr19	1847695	1847974	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
chr19	4769739	4769739	chr19	4769541	4769820	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
chr20	48407126	48407126	chr20	48406832	48407135	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng6hStdAlnRep1.narrowPeak
chr20	48407126	48407126	chr20	48406880	48407159	CMYC	K562	spp.optimal.wgEncodeSydhTfbsK562CmycIfng30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng30StdAlnRep1.narrowPeak
