Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
