Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36789381	36789644	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr1	202075668	202075668	chr1	202075502	202075765	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr3	122388463	122388463	chr3	122388283	122388546	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr5	137802403	137802403	chr5	137802010	137803191	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr5	137802403	137802403	chr5	137802010	137803191	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr5	137805651	137805651	chr5	137804894	137806239	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr5	137805651	137805651	chr5	137804894	137806239	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr5	167913602	167913602	chr5	167913371	167913650	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr6	84140037	84140037	chr6	84139989	84140252	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr6	130071840	130071840	chr6	130071634	130071897	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr6	170862335	170862335	chr6	170862223	170862480	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr9	115983539	115983539	chr9	115983402	115983647	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr11	47600437	47600437	chr11	47600431	47600763	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr13	111365588	111365588	chr13	111365501	111365778	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr17	56472118	56472118	chr17	56471991	56472162	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr19	4769739	4769739	chr19	4769636	4769780	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
chr19	49621963	49621963	chr19	49621923	49622056	POL24H8	HCT116	spp.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak
