Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102315040	102315189	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969380	37969529	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969400	37969549	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352820	99352969	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941100	57941249	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr5	55422680	55422680	chr5	55422680	55422829	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr5	92528308	92528308	chr5	92528280	92528429	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr5	159880355	159880355	chr5	159880340	159880489	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr5	159880355	159880355	chr5	159880340	159880489	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009280	130009429	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356360	119356509	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356380	119356529	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr10	5621627	5621627	chr10	5621480	5621629	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794480	111794629	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794540	111794689	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr10	129676168	129676168	chr10	129676100	129676249	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
chr10	129676168	129676168	chr10	129676080	129676229	HMVEC_DBLAD	HMVEC_dBlAd-DS13337.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HMVEC_DBLAD	HMVEC_dBlAd-DS13329.peaks.fdr0.01.hg19.bed
