Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	160210060	160210060	POL2_GM12878	160209869	160210124	NM_000636	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	POL2_GM12878	160209869	160210124	NM_001024466	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	POL2_GM12878	160209869	160210124	NM_001024465	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	170862335	170862335	POL2_GM12878	170862214	170862468	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_GM12878	170862214	170862468	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_GM12878	170862244	170862444	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_GM12878	170862244	170862444	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_GM12878	170862263	170862368	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_GM12878	170862263	170862368	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_GM12878	170862321	170862378	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_GM12878	170862321	170862378	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr17	33864706	33864706	POL2_GM12878	33864589	33864844	NM_001282	33814281	33904280	5D	AP2B1	163	hsa05016
chr17	33864706	33864706	POL2_GM12878	33864589	33864844	NM_001030006	33814281	33904280	5D	AP2B1	163	hsa05016
chr17	33864706	33864706	POL2_GM12878	33864591	33864854	NM_001282	33814281	33904280	5D	AP2B1	163	hsa05016
chr17	33864706	33864706	POL2_GM12878	33864591	33864854	NM_001030006	33814281	33904280	5D	AP2B1	163	hsa05016
chr17	33864706	33864706	POL2_GM12878	33864613	33864842	NM_001282	33814281	33904280	5D	AP2B1	163	hsa05016
chr17	33864706	33864706	POL2_GM12878	33864613	33864842	NM_001030006	33814281	33904280	5D	AP2B1	163	hsa05016
