Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727740	7727889	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727760	7727909	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145320	95145469	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145340	95145489	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291440	158291589	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291460	158291609	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr2	238227918	238227918	chr2	238227880	238228029	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238234940	238235089	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235020	238235169	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388360	122388509	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196480	40196629	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr4	185400747	185400747	chr4	185400640	185400789	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767120	70767269	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr5	79237486	79237486	chr5	79237400	79237549	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr5	79237486	79237486	chr5	79237420	79237569	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr5	106426492	106426492	chr5	106426360	106426509	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802280	137802429	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822800	137822949	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr6	136359445	136359445	chr6	136359440	136359589	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr6	136359445	136359445	chr6	136359440	136359589	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr9	14199421	14199421	chr9	14199300	14199449	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr10	29430623	29430623	chr10	29430600	29430749	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290720	12290869	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983480	124983629	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr13	45595546	45595546	chr13	45595440	45595589	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr13	45595546	45595546	chr13	45595480	45595629	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374320	103374469	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374340	103374489	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155580	34155729	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155580	34155729	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250580	52250729	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250580	52250729	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr14	58221610	58221610	chr14	58221560	58221709	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922240	59922389	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922260	59922409	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr15	57349161	57349161	chr15	57349160	57349309	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr15	90925720	90925720	chr15	90925700	90925849	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr15	90925720	90925720	chr15	90925720	90925869	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959380	959529	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754660	42754809	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519240	74519389	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HPDLF	HPdLF-DS13569.peaks.fdr0.01.hg19.bed
chr19	1847697	1847697	chr19	1847680	1847829	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HPDLF	HPdLF-DS13573.peaks.fdr0.01.hg19.bed
