Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727616	7727960	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr1	7727853	7727853	chr1	7727625	7727940	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr3	52968725	52968725	chr3	52968707	52968959	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr3	52968725	52968725	chr3	52968720	52968950	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr6	130073290	130073290	chr6	130073072	130073298	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr6	136359445	136359445	chr6	136359399	136359682	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729797	128730058	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729840	128730064	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390529	49390844	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390609	49390807	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299119	58299505	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299142	58299476	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr14	50433110	50433110	chr14	50432936	50433219	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959362	959573	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519198	74519534	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519219	74519465	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr18	48188791	48188791	chr18	48188563	48188878	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr18	48188791	48188791	chr18	48188664	48188809	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495662	495961	CTCF	NHEK	spp.optimal.wgEncodeUwTfbsNhekCtcfStdAlnRep0_VS_wgEncodeUwTfbsNhekInputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495720	495881	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr19	4941455	4941455	chr19	4941292	4941607	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539020	38539335	CTCF	NHEK	spp.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak
