Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727315	7728259	LHSR	LHSRDukeDNaseSeq.pk
chr1	22224101	22224101	chr1	22223619	22224418	LHSR	LHSRDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788213	36790065	LHSR	LHSRDukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680174	42680630	LHSR	LHSRDukeDNaseSeq.pk
chr2	129124334	129124334	chr2	129124261	129124627	LHSR	LHSRDukeDNaseSeq.pk
chr2	129124529	129124529	chr2	129124261	129124627	LHSR	LHSRDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063657	221064058	LHSR	LHSRDukeDNaseSeq.pk
chr3	19931169	19931169	chr3	19930632	19931174	LHSR	LHSRDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968644	52969098	LHSR	LHSRDukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57940942	57941304	LHSR	LHSRDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137796857	137797460	LHSR	LHSRDukeDNaseSeq.pk
chr5	137805651	137805651	chr5	137805337	137806483	LHSR	LHSRDukeDNaseSeq.pk
chr5	137822865	137822865	chr5	137822379	137823139	LHSR	LHSRDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913152	167913759	LHSR	LHSRDukeDNaseSeq.pk
chr6	31107086	31107086	chr6	31107060	31107749	LHSR	LHSRDukeDNaseSeq.pk
chr6	84140037	84140037	chr6	84139545	84141132	LHSR	LHSRDukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409353	138409869	LHSR	LHSRDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862133	170862568	LHSR	LHSRDukeDNaseSeq.pk
chr7	40876113	40876113	chr7	40875897	40876174	LHSR	LHSRDukeDNaseSeq.pk
chr7	130009352	130009352	chr7	130008850	130009503	LHSR	LHSRDukeDNaseSeq.pk
chr7	155257893	155257893	chr7	155257781	155257996	LHSR	LHSRDukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315803	95316323	LHSR	LHSRDukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356244	119356598	LHSR	LHSRDukeDNaseSeq.pk
chr9	98359187	98359187	chr9	98359161	98359569	LHSR	LHSRDukeDNaseSeq.pk
chr9	98541231	98541231	chr9	98540977	98542045	LHSR	LHSRDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983180	115985198	LHSR	LHSRDukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341220	13342333	LHSR	LHSRDukeDNaseSeq.pk
chr10	29409191	29409191	chr10	29409180	29409534	LHSR	LHSRDukeDNaseSeq.pk
chr10	43814048	43814048	chr10	43813997	43814127	LHSR	LHSRDukeDNaseSeq.pk
chr10	73820000	73820000	chr10	73819703	73820447	LHSR	LHSRDukeDNaseSeq.pk
chr10	82282750	82282750	chr10	82282694	82283041	LHSR	LHSRDukeDNaseSeq.pk
chr11	2933064	2933064	chr11	2933022	2935083	LHSR	LHSRDukeDNaseSeq.pk
chr11	35161075	35161075	chr11	35161044	35161782	LHSR	LHSRDukeDNaseSeq.pk
chr11	36056921	36056921	chr11	36056233	36057021	LHSR	LHSRDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47599944	47600990	LHSR	LHSRDukeDNaseSeq.pk
chr11	120678018	120678018	chr11	120677988	120678954	LHSR	LHSRDukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729811	128730009	LHSR	LHSRDukeDNaseSeq.pk
chr11	128735665	128735665	chr11	128735419	128735739	LHSR	LHSRDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390465	49390974	LHSR	LHSRDukeDNaseSeq.pk
chr12	50303926	50303926	chr12	50303398	50304126	LHSR	LHSRDukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299067	58299527	LHSR	LHSRDukeDNaseSeq.pk
chr12	58705074	58705074	chr12	58704569	58705091	LHSR	LHSRDukeDNaseSeq.pk
chr12	124983615	124983615	chr12	124983267	124983733	LHSR	LHSRDukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364456	111366169	LHSR	LHSRDukeDNaseSeq.pk
chr14	34155697	34155697	chr14	34155513	34155814	LHSR	LHSRDukeDNaseSeq.pk
chr14	43463395	43463395	chr14	43463224	43463622	LHSR	LHSRDukeDNaseSeq.pk
chr14	52250689	52250689	chr14	52250576	52250798	LHSR	LHSRDukeDNaseSeq.pk
chr14	104859418	104859418	chr14	104859324	104859532	LHSR	LHSRDukeDNaseSeq.pk
chr15	90895957	90895957	chr15	90894943	90896191	LHSR	LHSRDukeDNaseSeq.pk
chr15	90907875	90907875	chr15	90907469	90907912	LHSR	LHSRDukeDNaseSeq.pk
chr15	99498084	99498084	chr15	99497244	99498154	LHSR	LHSRDukeDNaseSeq.pk
chr16	633353	633353	chr16	632816	633579	LHSR	LHSRDukeDNaseSeq.pk
chr16	671681	671681	chr16	670843	672659	LHSR	LHSRDukeDNaseSeq.pk
chr16	1495299	1495299	chr16	1492267	1497043	LHSR	LHSRDukeDNaseSeq.pk
chr16	57771125	57771125	chr16	57768645	57771246	LHSR	LHSRDukeDNaseSeq.pk
chr17	959514	959514	chr17	959115	959789	LHSR	LHSRDukeDNaseSeq.pk
chr17	3591821	3591821	chr17	3591333	3592140	LHSR	LHSRDukeDNaseSeq.pk
chr17	4316477	4316477	chr17	4316263	4316912	LHSR	LHSRDukeDNaseSeq.pk
chr17	42754776	42754776	chr17	42754509	42754879	LHSR	LHSRDukeDNaseSeq.pk
chr17	74519373	74519373	chr17	74519157	74519558	LHSR	LHSRDukeDNaseSeq.pk
chr19	495721	495721	chr19	495267	495880	LHSR	LHSRDukeDNaseSeq.pk
chr19	1828947	1828947	chr19	1828819	1829037	LHSR	LHSRDukeDNaseSeq.pk
chr19	1847697	1847697	chr19	1847320	1849068	LHSR	LHSRDukeDNaseSeq.pk
chr19	4555309	4555309	chr19	4555172	4555566	LHSR	LHSRDukeDNaseSeq.pk
chr19	4585170	4585170	chr19	4584761	4585304	LHSR	LHSRDukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4769372	4769941	LHSR	LHSRDukeDNaseSeq.pk
chr19	4889523	4889523	chr19	4889406	4889882	LHSR	LHSRDukeDNaseSeq.pk
chr19	4941455	4941455	chr19	4941405	4941491	LHSR	LHSRDukeDNaseSeq.pk
chr19	49621963	49621963	chr19	49621559	49622861	LHSR	LHSRDukeDNaseSeq.pk
chr19	51173217	51173217	chr19	51172561	51173321	LHSR	LHSRDukeDNaseSeq.pk
chr20	60379459	60379459	chr20	60378317	60385679	LHSR	LHSRDukeDNaseSeq.pk
chr20	62223237	62223237	chr20	62223035	62225125	LHSR	LHSRDukeDNaseSeq.pk
chr20	62852929	62852929	chr20	62852420	62861561	LHSR	LHSRDukeDNaseSeq.pk
chr21	47690067	47690067	chr21	47689209	47690150	LHSR	LHSRDukeDNaseSeq.pk
chr22	18560569	18560569	chr22	18560129	18561641	LHSR	LHSRDukeDNaseSeq.pk
chr22	19733810	19733810	chr22	19729145	19734096	LHSR	LHSRDukeDNaseSeq.pk
chr22	35917545	35917545	chr22	35917429	35917772	LHSR	LHSRDukeDNaseSeq.pk
chr22	36971956	36971956	chr22	36971870	36972113	LHSR	LHSRDukeDNaseSeq.pk
chr22	38158740	38158740	chr22	38158411	38159429	LHSR	LHSRDukeDNaseSeq.pk
