Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr11	128729844	128729844	SMC3AB9263_K562	128729805	128730048	NM_001271010	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	SMC3AB9263_K562	128729805	128730048	NM_001271012	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	SMC3AB9263_K562	128729805	128730048	NM_001167681	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	SMC3AB9263_K562	128729805	128730048	NM_002017	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	SMC3AB9263_GM12878	128729815	128730054	NM_001271010	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	SMC3AB9263_GM12878	128729815	128730054	NM_001271012	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	SMC3AB9263_GM12878	128729815	128730054	NM_001167681	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	SMC3AB9263_GM12878	128729815	128730054	NM_002017	128693162	128783161	3D	FLI1	2313	hsa05202
chr21	42818789	42818789	SMC3AB9263_HELAS3	42818672	42818907	NM_005656	42736477	42826476	3D	TMPRSS2	7113	hsa05202
chr21	42818789	42818789	SMC3AB9263_HELAS3	42818672	42818907	NM_001135099	42736477	42826476	3D	TMPRSS2	7113	hsa05202
