Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00380
