Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
