Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727668	7727929	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr3	37489414	37489414	chr3	37489383	37489448	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr3	196019679	196019679	chr3	196019506	196019715	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr6	136359445	136359445	chr6	136359428	136359637	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr9	14199421	14199421	chr9	14199229	14199438	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr12	49390676	49390676	chr12	49390625	49390761	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr12	58299249	58299249	chr12	58299137	58299429	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr17	959514	959514	chr17	959363	959555	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr17	74519373	74519373	chr17	74519242	74519498	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr18	38017577	38017577	chr18	38017450	38017659	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr19	495721	495721	chr19	495702	495911	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr19	4769739	4769739	chr19	4769588	4769797	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr21	38539118	38539118	chr21	38539107	38539264	RAD21	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
