Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr2	169853632	169853632	TAL1SC12984_K562	169853611	169853860	NM_021176	169776510	169866509	3D	G6PC2	57818	hsa01100
chr2	169853632	169853632	TAL1SC12984_K562	169853611	169853860	NM_001081686	169776510	169866509	3D	G6PC2	57818	hsa01100
chr2	169853632	169853632	TAL1SC12984_K562	169853611	169853860	NM_199204	169823544	169913543	5D	DHRS9	10170	hsa01100
chr2	169853632	169853632	TAL1SC12984_K562	169853611	169853860	NM_005771	169821298	169911297	5D	DHRS9	10170	hsa01100
chr2	169853632	169853632	TAL1SC12984_K562	169853611	169853860	NM_001142270	169829084	169919083	5D	DHRS9	10170	hsa01100
chr2	169853632	169853632	TAL1SC12984_K562	169853611	169853860	NM_001142271	169837616	169927615	5D	DHRS9	10170	hsa01100
chr20	31339331	31339331	TAL1SC12984_K562	31339189	31339438	NM_175849	31250190	31340189	5D	DNMT3B	1789	hsa01100
chr20	31339331	31339331	TAL1SC12984_K562	31339189	31339438	NM_175848	31250190	31340189	5D	DNMT3B	1789	hsa01100
chr20	31339331	31339331	TAL1SC12984_K562	31339189	31339438	NM_001207055	31250190	31340189	5D	DNMT3B	1789	hsa01100
chr20	31339331	31339331	TAL1SC12984_K562	31339189	31339438	NM_006892	31250190	31340189	5D	DNMT3B	1789	hsa01100
chr20	31339331	31339331	TAL1SC12984_K562	31339189	31339438	NM_001207056	31250190	31340189	5D	DNMT3B	1789	hsa01100
chr20	31339331	31339331	TAL1SC12984_K562	31339189	31339438	NM_175850	31267657	31357656	5D	DNMT3B	1789	hsa01100
