Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	POL2_PBDE	12995688	12995927	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12995688	12995927	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12995688	12995927	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12995688	12995927	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12995904	12996224	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12995904	12996224	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12995904	12996224	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12995904	12996224	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12997602	12998287	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12997602	12998287	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12997602	12998287	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	POL2_PBDE	12997602	12998287	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
