Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	3197746	3197746	chr1	3194412	3202885	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727306	7728198	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788306	36789768	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr1	226654251	226654251	chr1	226654050	226654515	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr2	129124529	129124529	chr2	129124398	129124574	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr2	130483909	130483909	chr2	130483465	130483932	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063631	221064071	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr2	238224334	238224334	chr2	238223781	238224424	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968663	52969001	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr3	155755220	155755220	chr3	155755117	155755633	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr5	137822865	137822865	chr5	137822721	137823012	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr5	149575122	149575122	chr5	149574192	149575226	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913196	167913741	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr5	173738576	173738576	chr5	173738563	173739471	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr5	177842787	177842787	chr5	177842696	177843035	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr5	178750376	178750376	chr5	178750033	178750671	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr5	179564140	179564140	chr5	179561202	179565072	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr6	84140037	84140037	chr6	84139956	84140141	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr6	164463354	164463354	chr6	164463243	164463383	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862287	170862502	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr8	978684	978684	chr8	978531	978974	MYOTUBE	MyotubeDukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315774	95316299	MYOTUBE	MyotubeDukeDNaseSeq.pk
