Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224300	238224449	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr4	55526919	55526919	chr4	55526880	55527029	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr4	55526919	55526919	chr4	55526880	55527029	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941020	57941169	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041920	78042069	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802260	137802409	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805560	137805709	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805640	137805789	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822780	137822929	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822860	137823009	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139900	84140049	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr8	18467518	18467518	chr8	18467420	18467569	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr9	14199421	14199421	chr9	14199280	14199429	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr9	14199421	14199421	chr9	14199280	14199429	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr10	80509969	80509969	chr10	80509820	80509969	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr11	119219123	119219123	chr11	119219040	119219189	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr11	119219123	119219123	chr11	119219040	119219189	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr11	126795428	126795428	chr11	126795360	126795509	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	AG10803	AG10803-DS12384.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299240	58299389	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
chr13	30107284	30107284	chr13	30107180	30107329	AG10803	AG10803-DS12374.peaks.fdr0.01.hg19.bed
