Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr3	4463007	4463007	chr3	4462918	4463181	EBF	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878EbfStdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr4	40196548	40196548	chr4	40196494	40196757	EBF	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878EbfStdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr4	40196548	40196548	chr4	40196546	40196781	EBF	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr6	183916	183916	chr6	183739	183974	EBF	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr6	6712344	6712344	chr6	6712185	6712448	EBF	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878EbfStdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr6	16332729	16332729	chr6	16332590	16332825	EBF	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr8	135612744	135612744	chr8	135612496	135612828	EBF	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878EbfStdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr8	135612744	135612744	chr8	135612508	135612826	EBF	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr11	9648720	9648720	chr11	9648675	9648938	EBF	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878EbfStdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr12	7798835	7798835	chr12	7798777	7799012	EBF	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
