Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	3197746	3197746	chr1	3197611	3197832	MCF7	MCF7DukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727493	7728069	MCF7	MCF7DukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727720	7727869	MCF7	MCF7-DS12619.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	MCF7	MCF7-DS9445.peaks.fdr0.01.hg19.bed
chr1	36789545	36789545	chr1	36788722	36789658	MCF7	MCF7DukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680280	42680429	MCF7	MCF7-DS9445.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	MCF7	MCF7-DS12619.peaks.fdr0.01.hg19.bed
chr1	202075668	202075668	chr1	202075560	202075709	MCF7	MCF7-DS12619.peaks.fdr0.01.hg19.bed
chr1	202075668	202075668	chr1	202075560	202075709	MCF7	MCF7-DS9445.peaks.fdr0.01.hg19.bed
chr2	19497992	19497992	chr2	19497940	19498089	MCF7	MCF7-DS12619.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102312967	102315120	MCF7	MCF7DukeDNaseSeq.pk
chr2	127472031	127472031	chr2	127471980	127472129	MCF7	MCF7-DS12619.peaks.fdr0.01.hg19.bed
chr2	221043927	221043927	chr2	221043907	221044469	MCF7	MCF7DukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063702	221063882	MCF7	MCF7DukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063740	221063889	MCF7	MCF7-DS9445.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	MCF7	MCF7-DS12619.peaks.fdr0.01.hg19.bed
chr2	238635136	238635136	chr2	238635098	238635466	MCF7	MCF7DukeDNaseSeq.pk
chr3	17764308	17764308	chr3	17764160	17764309	MCF7	MCF7-DS12619.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968700	52968849	MCF7	MCF7-DS12619.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968711	52968948	MCF7	MCF7DukeDNaseSeq.pk
