Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	40426921	40426921	chr1	40419869	40427283	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113241640	113245274	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113245870	113251245	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183241035	183243158	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr1	195927450	195927450	chr1	195926679	195928602	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr1	195928548	195928548	chr1	195926679	195928602	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr1	209211967	209211967	chr1	209210738	209214971	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223957799	223961138	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	43165146	43165146	chr2	43162808	43165147	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	85514931	85514931	chr2	85513457	85519116	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312556	102317372	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	128264245	128264245	chr2	128263941	128268300	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	153572155	153572155	chr2	153571590	153576735	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	159926848	159926848	chr2	159925416	159927262	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	221063850	221063850	chr2	221062755	221064858	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	221084497	221084497	chr2	221082908	221085608	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr2	238635136	238635136	chr2	238634425	238637039	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr3	4463007	4463007	chr3	4462254	4464051	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr3	19931169	19931169	chr3	19929724	19932061	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr3	31950589	31950589	chr3	31944209	31951065	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378814	44381939	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr3	61655973	61655973	chr3	61655014	61657001	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr4	57941159	57941159	chr4	57938494	57950384	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr4	57941699	57941699	chr4	57938494	57950384	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311328	88313323	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170578915	170582866	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr5	31989983	31989983	chr5	31989743	31991766	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr5	70767268	70767268	chr5	70766342	70768175	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr5	118734730	118734730	chr5	118732516	118736822	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798813	137802458	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912756	167915190	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr6	6712344	6712344	chr6	6712064	6714112	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr6	16332729	16332729	chr6	16331594	16339991	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102710	26105609	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr6	42189847	42189847	chr6	42188531	42191181	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr6	42190445	42190445	chr6	42188531	42191181	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
chr6	44421239	44421239	chr6	44419193	44422889	H3K27AC	NHEK	wgEncodeBroadHistoneNhekH3k27acStdAln.narrowPeak
