Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	3597016	3597016	chr1	3596752	3598770	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	7727853	7727853	chr1	7727140	7732463	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	21927847	21927847	chr1	21927355	21931390	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	22224101	22224101	chr1	22218411	22234657	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	31177072	31177072	chr1	31176300	31179054	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	31387329	31387329	chr1	31383191	31389104	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	36789545	36789545	chr1	36784521	36790608	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	113242121	113242121	chr1	113237027	113251586	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	113248364	113248364	chr1	113237027	113251586	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	202075668	202075668	chr1	202074143	202078097	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr1	223960535	223960535	chr1	223958268	223961117	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr2	43165146	43165146	chr2	43158036	43167108	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr2	102315056	102315056	chr2	102312605	102317125	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr2	153572155	153572155	chr2	153572055	153577823	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr3	12857492	12857492	chr3	12856403	12859762	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr3	42914011	42914011	chr3	42912430	42914679	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr3	44380487	44380487	chr3	44378569	44381974	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr4	40196548	40196548	chr4	40194035	40196818	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr4	88313178	88313178	chr4	88309249	88313411	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr5	10318454	10318454	chr5	10317338	10320677	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr5	90036088	90036088	chr5	90035266	90037075	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr5	137782203	137782203	chr5	137779415	137782853	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr5	137797379	137797379	chr5	137792278	137798096	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr5	137802403	137802403	chr5	137798584	137804486	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr5	167913602	167913602	chr5	167912936	167914722	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr6	6712344	6712344	chr6	6710218	6716212	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr6	26103176	26103176	chr6	26101738	26105972	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr6	31107086	31107086	chr6	31105164	31108059	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr6	31641385	31641385	chr6	31618624	31645519	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr6	84140037	84140037	chr6	84139322	84142113	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr6	160210060	160210060	chr6	160207502	160214345	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr6	170862335	170862335	chr6	170858715	170865518	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr7	5530781	5530781	chr7	5530485	5533227	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr7	150130751	150130751	chr7	150128804	150133243	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr8	142295964	142295964	chr8	142294771	142296776	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr9	115983539	115983539	chr9	115982319	115985287	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr10	13341377	13341377	chr10	13341248	13343175	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr10	71890629	71890629	chr10	71890529	71893554	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr10	72504762	72504762	chr10	72500104	72505963	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr10	73820000	73820000	chr10	73818292	73824376	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr10	73832858	73832858	chr10	73831612	73836280	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
chr10	82247138	82247138	chr10	82244844	82249878	H3K9ACB	K562	wgEncodeSydhHistoneK562H3k9acbUcdAln.narrowPeak
