Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680318	42680561	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr1	167944642	167944642	chr1	167944422	167944681	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr2	159926848	159926848	chr2	159926844	159927103	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr6	138409766	138409766	chr6	138409539	138409798	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr8	73406456	73406456	chr8	73406402	73406661	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356255	119356528	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr9	123791935	123791935	chr9	123791788	123792047	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr16	1481019	1481019	chr16	1480849	1481099	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr17	13956666	13956666	chr17	13956573	13956832	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046257	41046455	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr17	56472118	56472118	chr17	56471989	56472248	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769515	4769774	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr21	42694666	42694666	chr21	42694488	42694757	FOXA1C20	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
