Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36788193	36790055	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr1	36789545	36789545	chr1	36788333	36789890	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr1	42680326	42680326	chr1	42680100	42680940	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246210	113250913	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246352	113250804	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312670	102318507	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312772	102318049	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571438	153577433	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930484	19931212	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378641	44382130	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378702	44382012	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310968	88313510	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579870	170582680	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170580513	170583355	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798869	137805942	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137799071	137805102	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr5	137805651	137805651	chr5	137798869	137805942	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912808	167915306	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912857	167914982	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738405	173739642	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738476	173739600	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138964	84141659	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84139210	84141626	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr6	138409766	138409766	chr6	138408933	138410694	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208300	160213919	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208541	160213055	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860193	170865974	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860389	170865109	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr7	77044447	77044447	chr7	77044277	77046556	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr7	77044447	77044447	chr7	77044381	77046661	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr7	128367891	128367891	chr7	128367308	128368100	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433226	26438929	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433683	26438158	H3K4ME3	HMEC	wgEncodeUwHistoneHmecH3k4me3StdAln.narrowPeak
chr9	14199421	14199421	chr9	14197296	14199999	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981523	115985919	H3K4ME3	HMEC	wgEncodeBroadHistoneHmecH3k4me3StdAln.narrowPeak
