Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727760	7727909	NHA	NHA-DS12800.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145340	95145489	NHA	NHA-DS12800.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145380	95145529	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr2	144282077	144282077	chr2	144281940	144282089	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	NHA	NHA-DS12800.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	NHA	NHA-DS12800.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352800	99352949	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352860	99353009	NHA	NHA-DS12800.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388380	122388529	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr4	10589552	10589552	chr4	10589480	10589629	NHA	NHA-DS12800.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465280	54465429	NHA	NHA-DS12800.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941020	57941169	NHA	NHA-DS12800.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	NHA	NHA-DS12805.peaks.fdr0.01.hg19.bed
