Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36789103	36790618	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr2	46639625	46639625	chr2	46634684	46640709	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr2	153572155	153572155	chr2	153572052	153576304	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr2	177129992	177129992	chr2	177128658	177132404	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378807	44381753	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr3	58165232	58165232	chr3	58163183	58166010	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr4	3454453	3454453	chr4	3453408	3454670	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr4	40196548	40196548	chr4	40196108	40197093	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311501	88313742	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr4	170580817	170580817	chr4	170580761	170582414	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr5	92576493	92576493	chr5	92574947	92578341	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr5	141721244	141721244	chr5	141720993	141723508	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912053	167914995	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr6	6712344	6712344	chr6	6711756	6714003	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr6	26103176	26103176	chr6	26101989	26105029	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr6	130069290	130069290	chr6	130068952	130072025	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr6	130071840	130071840	chr6	130068952	130072025	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr6	170862335	170862335	chr6	170861073	170865100	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr7	130007597	130007597	chr7	130006219	130007820	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr7	130009352	130009352	chr7	130008241	130010198	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr7	130012956	130012956	chr7	130011862	130014782	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr8	38588312	38588312	chr8	38587345	38588315	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr9	98536016	98536016	chr9	98531539	98536255	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr9	115983539	115983539	chr9	115981984	115983774	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr10	13341377	13341377	chr10	13340858	13342713	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr11	8987822	8987822	chr11	8984626	8987984	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr11	12290811	12290811	chr11	12290423	12293048	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr11	47600437	47600437	chr11	47599598	47601705	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
chr12	49390676	49390676	chr12	49390248	49393101	H2AZ	HEPG2	wgEncodeBroadHistoneHepg2H2azStdAln.narrowPeak
