Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr3	37489414	37489414	CTCF_H1HESC	37489283	37489532	NM_002207	37483812	37491811	5P2	ITGA9	3680	hsa04510
chr19	495721	495721	CTCF_GM12878	495662	495981	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HELAS3	495648	495878	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_K562	495643	495926	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HUVEC	495660	495945	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_OSTEOBL	495660	495964	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_A549	495714	495897	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HMEC	495696	495945	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_NHA	495668	495983	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HSMM	495665	495928	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_NHEK	495662	495961	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_GM06990	495667	495939	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_NHLF	495668	495957	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_AG09309	495694	495949	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_AG10803	495687	495930	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_K562	495685	495942	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HUVEC	495686	495951	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_BJ	495690	495953	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HEE	495688	495963	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_SKNSHRA	495691	495941	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_NHDFAD	495695	495954	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_GM12865	495704	495931	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HMF	495699	495942	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HBMEC	495701	495942	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HCPE	495702	495944	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HSMMT	495709	495859	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HPAF	495706	495921	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_AG04450	495705	495908	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HRE	495704	495932	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HPF	495706	495955	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_GM12864	495718	495929	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_AG09319	495717	495929	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_GM12874	495716	495930	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_HCFAA	495716	495925	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_CACO2	495718	495921	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_NHEK	495720	495881	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_SAEC	495719	495934	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
chr19	495721	495721	CTCF_A549	495721	495930	NM_012435	470996	560995	5D	SHC2	25759	hsa04510
