Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr1	172673321	172673321	chr1	172673300	172673449	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314980	102315129	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr3	148466362	148466362	chr3	148466240	148466389	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr3	184188502	184188502	chr3	184188480	184188629	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr5	85911653	85911653	chr5	85911620	85911769	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr5	134939123	134939123	chr5	134939020	134939169	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr6	6712344	6712344	chr6	6712260	6712409	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr6	125854252	125854252	chr6	125854160	125854309	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr6	160210060	160210060	chr6	160210020	160210169	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr7	130012956	130012956	chr7	130012820	130012969	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr10	72504762	72504762	chr10	72504660	72504809	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390600	49390749	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr13	90513152	90513152	chr13	90513020	90513169	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr18	3656606	3656606	chr18	3656500	3656649	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495700	495849	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769620	4769769	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr21	38539118	38539118	chr21	38539100	38539249	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
chr22	18560569	18560569	chr22	18560560	18560709	CMK	CMK-DS12393.peaks.fdr0.01.hg19.bed
