Searched for chr	interval Low	interval High	ucscRefSeqGene node ChromName	node Low	node High	node RefSeqGeneName	node IntervalName	node GeneHugoSymbol	node GeneEntrezId
chr20	31339331	31339331	chr20	31250190	31340189	NM_175849	5D	DNMT3B	1789
chr20	31339331	31339331	chr20	31250190	31340189	NM_175848	5D	DNMT3B	1789
chr20	31339331	31339331	chr20	31250190	31340189	NM_001207055	5D	DNMT3B	1789
chr20	31339331	31339331	chr20	31250190	31340189	NM_006892	5D	DNMT3B	1789
chr20	31339331	31339331	chr20	31250190	31340189	NM_001207056	5D	DNMT3B	1789
chr20	31339331	31339331	chr20	31267657	31357656	NM_175850	5D	DNMT3B	1789
chr20	31439208	31439208	chr20	31407162	31497161	NM_175850	3D	DNMT3B	1789
chr20	31439208	31439208	chr20	31407162	31497161	NM_175849	3D	DNMT3B	1789
chr20	31439208	31439208	chr20	31407162	31497161	NM_175848	3D	DNMT3B	1789
chr20	31439208	31439208	chr20	31407162	31497161	NM_001207055	3D	DNMT3B	1789
chr20	31439208	31439208	chr20	31407162	31497161	NM_001207056	3D	DNMT3B	1789
chr20	31439208	31439208	chr20	31407162	31497161	NM_006892	3D	DNMT3B	1789
