Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727606	7727945	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr1	7727853	7727853	chr1	7727620	7727927	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr3	52968725	52968725	chr3	52968719	52968948	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454294	3454484	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr6	130073290	130073290	chr6	130073058	130073307	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130073092	130073296	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359307	136359646	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr6	136359445	136359445	chr6	136359408	136359647	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359426	136359615	CTCF	HUVEC	spp.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_VS_wgEncodeOpenChromChipHuvecInputAln.narrowPeak
chr11	128729844	128729844	chr11	128729761	128730150	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729802	128730081	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390558	49390823	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390582	49390820	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390595	49390784	CTCF	HUVEC	spp.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_VS_wgEncodeOpenChromChipHuvecInputAln.narrowPeak
chr12	58299249	58299249	chr12	58299121	58299486	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299158	58299458	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299192	58299411	CTCF	HUVEC	spp.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_VS_wgEncodeOpenChromChipHuvecInputAln.narrowPeak
chr17	959514	959514	chr17	959349	959584	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959364	959578	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959373	959562	CTCF	HUVEC	spp.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_VS_wgEncodeOpenChromChipHuvecInputAln.narrowPeak
chr17	74519373	74519373	chr17	74519174	74519533	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519200	74519507	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519302	74519397	CTCF	HUVEC	spp.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_VS_wgEncodeOpenChromChipHuvecInputAln.narrowPeak
chr18	48188791	48188791	chr18	48188524	48188863	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr18	48188791	48188791	chr18	48188622	48188811	CTCF	HUVEC	spp.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_VS_wgEncodeOpenChromChipHuvecInputAln.narrowPeak
chr19	495721	495721	chr19	495660	495945	CTCF	HUVEC	spp.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak
chr19	495721	495721	chr19	495686	495951	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr19	4941455	4941455	chr19	4941317	4941506	CTCF	HUVEC	spp.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_VS_wgEncodeOpenChromChipHuvecInputAln.narrowPeak
chr19	4941455	4941455	chr19	4941326	4941565	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
chr21	38539118	38539118	chr21	38539074	38539263	CTCF	HUVEC	spp.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_VS_wgEncodeOpenChromChipHuvecInputAln.narrowPeak
chr21	38539118	38539118	chr21	38539070	38539309	CTCF	HUVEC	spp.optimal.wgEncodeUwTfbsHuvecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHuvecInputStdAlnRep1.narrowPeak
