Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	SIN3AK20_GM12878	12995674	12995923	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12995674	12995923	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12995674	12995923	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12995674	12995923	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12995674	12995923	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12995763	12995932	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12995763	12995932	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12995763	12995932	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12995763	12995932	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12995763	12995932	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12996105	12996274	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12996105	12996274	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12996105	12996274	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12996105	12996274	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_K562	12996105	12996274	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12996100	12996349	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12996100	12996349	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12996100	12996349	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12996100	12996349	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	SIN3AK20_GM12878	12996100	12996349	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
