Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36789285	36790213	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246342	113250986	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102314354	102318623	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571521	153577407	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19929998	19931571	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378670	44382021	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr3	155743406	155743406	chr3	155742650	155743563	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr3	176657461	176657461	chr3	176656930	176657889	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88308889	88313329	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579664	170584404	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798914	137803598	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr5	149310446	149310446	chr5	149309410	149310856	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912830	167915144	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738536	173739315	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26102800	26105262	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr6	52436647	52436647	chr6	52434297	52441843	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84137304	84141384	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr6	117084760	117084760	chr6	117082967	117087641	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136357748	136362281	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr6	138409766	138409766	chr6	138409199	138410289	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160207918	160213770	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860124	170865199	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr7	77044447	77044447	chr7	77044277	77045755	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26435133	26440783	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981632	115987237	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340710	13342777	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr10	71890629	71890629	chr10	71890560	71893399	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708486	114717277	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159656	35167040	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598416	47602669	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229718	118231796	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr12	4388270	4388270	chr12	4379854	4388495	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50296998	50298622	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr12	58705074	58705074	chr12	58704726	58705526	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363444	111368013	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr14	52250689	52250689	chr14	52250239	52251226	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894696	90896291	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57022054	57025249	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768033	57771584	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48272739	48279781	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr18	3653421	3653421	chr18	3652787	3654623	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846719	1849183	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2234812	2241124	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621355	49622439	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr19	53634926	53634926	chr19	53634425	53636862	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
chr21	31021388	31021388	chr21	31020819	31021648	H3K4ME3	HPF	wgEncodeUwHistoneHpfH3k4me3StdAln.narrowPeak
