Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727369	7728205	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788481	36789720	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680253	42680582	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr2	144282077	144282077	chr2	144281935	144282126	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063594	221064137	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr3	44380487	44380487	chr3	44379391	44380493	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968580	52969047	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57940946	57941273	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr5	92528308	92528308	chr5	92527829	92528337	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137796982	137797442	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr5	137805651	137805651	chr5	137805388	137806321	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr5	137822865	137822865	chr5	137822663	137823115	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913168	167914018	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr6	84140037	84140037	chr6	84139828	84140364	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr6	130073290	130073290	chr6	130073059	130073335	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409387	138409858	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862242	170862567	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr7	40876113	40876113	chr7	40875874	40876168	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr7	130009352	130009352	chr7	130008942	130009494	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315806	95316257	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356240	119356614	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr9	98541231	98541231	chr9	98540979	98542015	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983109	115984558	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341276	13342365	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr10	29409191	29409191	chr10	29409173	29409475	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr10	29430623	29430623	chr10	29429888	29431210	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr11	36056921	36056921	chr11	36056282	36056948	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600018	47600933	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr11	120678018	120678018	chr11	120677950	120678730	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr11	128735665	128735665	chr11	128735436	128735749	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390480	49390908	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr12	50303926	50303926	chr12	50303580	50304034	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299096	58299479	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr12	58705074	58705074	chr12	58704554	58705151	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364495	111366156	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr14	34155697	34155697	chr14	34155495	34155831	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr14	43463395	43463395	chr14	43463198	43463650	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr14	52250689	52250689	chr14	52250573	52250844	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr15	90895957	90895957	chr15	90895143	90896094	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr15	99498084	99498084	chr15	99497551	99498159	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr16	57771125	57771125	chr16	57770196	57771193	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr16	70743024	70743024	chr16	70742891	70743099	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr17	959514	959514	chr17	959238	959673	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr17	4316477	4316477	chr17	4316341	4316899	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr17	42754776	42754776	chr17	42754581	42754900	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr17	74519373	74519373	chr17	74519168	74519577	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr19	1847697	1847697	chr19	1847564	1848081	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr19	4585170	4585170	chr19	4584895	4585205	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4769407	4769920	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr19	4889523	4889523	chr19	4889447	4889857	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr19	49621963	49621963	chr19	49621592	49622807	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr20	62223237	62223237	chr20	62223110	62225054	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr21	42818789	42818789	chr21	42818595	42818800	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr22	18560569	18560569	chr22	18560254	18561593	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
chr22	35917545	35917545	chr22	35917473	35917691	LHSR_INDUCED	LHSR_inducedDukeDNaseSeq.pk
