Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680306	42680525	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr1	207631204	207631204	chr1	207631158	207631417	JUND	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2JundIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr2	221660613	221660613	chr2	221660494	221660753	JUND	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2JundIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr3	122388463	122388463	chr3	122388285	122388504	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862261	170862480	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356284	119356519	JUND	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2JundIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr8	119356465	119356465	chr8	119356294	119356512	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983524	115983743	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299153	58299412	JUND	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2JundIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr12	124983615	124983615	chr12	124983553	124983812	JUND	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2JundIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr14	34155697	34155697	chr14	34155447	34155706	JUND	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2JundIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr14	78335938	78335938	chr14	78335714	78335973	JUND	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2JundIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr16	1481019	1481019	chr16	1480853	1481072	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr17	21175068	21175068	chr17	21174857	21175116	JUND	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2JundIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr17	56472118	56472118	chr17	56471970	56472189	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769632	4769851	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr21	42694666	42694666	chr21	42694556	42694775	JUND	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
