Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	207631204	207631204	chr1	207631080	207631529	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr2	102315056	102315056	chr2	102314927	102315376	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr3	37962689	37962689	chr3	37962465	37962914	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr3	52968725	52968725	chr3	52968642	52969091	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr3	148466362	148466362	chr3	148465971	148466459	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr6	16332729	16332729	chr6	16332429	16332878	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr6	130071840	130071840	chr6	130071574	130072023	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr6	164463354	164463354	chr6	164463216	164463817	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr6	164463354	164463354	chr6	164463216	164463817	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr11	47600437	47600437	chr11	47600359	47600808	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr12	125354102	125354102	chr12	125353788	125354237	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr13	95860573	95860573	chr13	95860214	95860663	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr18	3653421	3653421	chr18	3652618	3653429	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr18	3653421	3653421	chr18	3652618	3653429	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr20	48407126	48407126	chr20	48407007	48407141	GATA1	PBDE	spp.optimal.wgEncodeSydhTfbsPbdeGata1UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
