Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr1	224972013	224972013	chr1	224971920	224972069	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr1	235072836	235072836	chr1	235072780	235072929	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102315020	102315169	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224300	238224449	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224320	238224469	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr2	238227918	238227918	chr2	238227840	238227989	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235060	238235209	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941100	57941249	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941120	57941269	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr4	148974601	148974601	chr4	148974540	148974689	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr4	148974601	148974601	chr4	148974560	148974709	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr4	177255406	177255406	chr4	177255360	177255509	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr4	177255406	177255406	chr4	177255380	177255529	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr6	130073290	130073290	chr6	130073160	130073309	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009260	130009409	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009280	130009429	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr8	26437075	26437075	chr8	26436940	26437089	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr8	42505465	42505465	chr8	42505400	42505549	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356340	119356489	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr9	98368876	98368876	chr9	98368820	98368969	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr9	101201019	101201019	chr9	101200960	101201109	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794460	111794609	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290760	12290909	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290760	12290909	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299240	58299389	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr13	32799287	32799287	chr13	32799160	32799309	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr13	45595546	45595546	chr13	45595480	45595629	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr13	45595546	45595546	chr13	45595480	45595629	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr13	100178626	100178626	chr13	100178520	100178669	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155560	34155709	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155580	34155729	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr14	38604469	38604469	chr14	38604440	38604589	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463320	43463469	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250560	52250709	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250580	52250729	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr14	77887680	77887680	chr14	77887680	77887829	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr15	90964890	90964890	chr15	90964860	90965009	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959380	959529	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
chr17	13956666	13956666	chr17	13956620	13956769	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HVMF	HVMF-DS13981.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HVMF	HVMF-DS13977.peaks.fdr0.01.hg19.bed
