Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	TAL1SC12984_K562	12996002	12996251	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12996002	12996251	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12996002	12996251	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12996002	12996251	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12997058	12997309	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12997058	12997309	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12997058	12997309	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12997058	12997309	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12997912	12998161	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12997912	12998161	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12997912	12998161	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12997912	12998161	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12998331	12998597	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12998331	12998597	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12998331	12998597	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	TAL1SC12984_K562	12998331	12998597	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chrX	55041618	55041619	TAL1SC12984_K562	55041406	55041776	NM_000032	55041448	55042009	INTRON3	ALAS2	212	hsa01100
chrX	55041618	55041619	TAL1SC12984_K562	55041406	55041776	NM_001037967	55041448	55042009	INTRON3	ALAS2	212	hsa01100
chrX	55041618	55041619	TAL1SC12984_K562	55041406	55041776	NM_001037968	55041448	55042009	INTRON3	ALAS2	212	hsa01100
