Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	EBF_GM12878	12995660	12995895	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	EBF_GM12878	12995660	12995895	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EBF_GM12878	12995660	12995895	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EBF_GM12878	12995660	12995895	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EBF_GM12878	12995660	12995895	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EBF_GM12878	12996303	12996538	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	EBF_GM12878	12996303	12996538	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EBF_GM12878	12996303	12996538	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EBF_GM12878	12996303	12996538	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EBF_GM12878	12996303	12996538	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
