Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727668	7727894	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr1	7727853	7727853	chr1	7727669	7727901	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr1	7727853	7727853	chr1	7727678	7727876	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr3	196019679	196019679	chr3	196019500	196019719	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr3	196019679	196019679	chr3	196019528	196019707	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr3	196019679	196019679	chr3	196019510	196019705	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr4	3454453	3454453	chr4	3454290	3454485	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr4	3454453	3454453	chr4	3454299	3454475	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr4	3454453	3454453	chr4	3454311	3454474	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr6	31107086	31107086	chr6	31106867	31107086	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr6	130073290	130073290	chr6	130073099	130073294	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr9	4090723	4090723	chr9	4090599	4090734	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr9	4090723	4090723	chr9	4090584	4090774	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr9	4090723	4090723	chr9	4090610	4090734	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr11	128729844	128729844	chr11	128729825	128730020	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr11	128729844	128729844	chr11	128729831	128730027	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr12	58299249	58299249	chr12	58299161	58299442	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr12	58299249	58299249	chr12	58299190	58299422	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr12	58299249	58299249	chr12	58299197	58299422	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr16	1481019	1481019	chr16	1480926	1481121	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr16	1481019	1481019	chr16	1480983	1481037	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr16	1481019	1481019	chr16	1480981	1481043	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr17	959514	959514	chr17	959382	959577	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr17	959514	959514	chr17	959396	959548	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr17	959514	959514	chr17	959402	959560	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr17	74519373	74519373	chr17	74519246	74519463	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr17	74519373	74519373	chr17	74519252	74519455	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr17	74519373	74519373	chr17	74519287	74519430	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr18	48188791	48188791	chr18	48188649	48188868	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr19	4941455	4941455	chr19	4941305	4941524	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr19	4941455	4941455	chr19	4941314	4941509	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr19	4941455	4941455	chr19	4941331	4941510	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr20	50213721	50213721	chr20	50213676	50213855	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr20	50213721	50213721	chr20	50213665	50213860	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr20	50213721	50213721	chr20	50213670	50213889	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr21	38539118	38539118	chr21	38539066	38539285	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
chr21	38539118	38539118	chr21	38539095	38539290	CTCF	MCF7	spp.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_VS_wgEncodeOpenChromChipMcf7InputAln.narrowPeak
