Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727231	7730994	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	22224101	22224101	chr1	22218628	22243939	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	36789545	36789545	chr1	36788109	36789978	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	40426921	40426921	chr1	40426007	40427210	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	41085925	41085925	chr1	41085557	41087646	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246217	113251345	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	167635556	167635556	chr1	167628343	167639133	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	183184847	183184847	chr1	183183034	183185210	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	183188061	183188061	chr1	183186365	183189170	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183239157	183243372	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223957375	223961139	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr2	37865695	37865695	chr2	37862267	37867672	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr2	45113851	45113851	chr2	45112366	45114599	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102314315	102318104	H3K9AC	HSMMT	wgEncodeBroadHistoneHsmmtH3k9acStdAln.narrowPeak
