Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727657	7727916	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr3	52968725	52968725	chr3	52968722	52968952	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454249	3454508	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130073072	130073302	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr6	136359445	136359445	chr6	136359419	136359678	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390583	49390794	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299149	58299460	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr15	90925720	90925720	chr15	90925712	90925971	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959361	959559	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519220	74519468	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr18	48188791	48188791	chr18	48188584	48188843	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr19	495721	495721	chr19	495695	495954	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr19	4941455	4941455	chr19	4941299	4941558	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539024	38539283	CTCF	NHDFAD	spp.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak
